facility_type,name,road_address,jibun_address,district,facility_kind,hub_suitability,address
public_library,갈마도서관,대전광역시 서구 신갈마로127번길 138 (갈마동),,서구,,,대전광역시 서구 신갈마로127번길 138 (갈마동)
public_library,관평도서관,대전광역시 유성구 테크노4로 131 (관평동),,유성구,,,대전광역시 유성구 테크노4로 131 (관평동)
public_library,구암도서관,대전광역시 유성구 유성대로626번길 57 (구암동),,유성구,,,대전광역시 유성구 유성대로626번길 57 (구암동)
public_library,구즉도서관,대전광역시 유성구 와룡로37번길 20 (송강동),,유성구,,,대전광역시 유성구 와룡로37번길 20 (송강동)
public_library,노은도서관,대전광역시 유성구 노은동로234번길 34 (지족동),,유성구,,,대전광역시 유성구 노은동로234번길 34 (지족동)
public_library,둔산도서관,대전광역시 서구 청사로 263 (둔산동),,서구,,,대전광역시 서구 청사로 263 (둔산동)
public_library,석봉도서관,대전광역시 대덕구 대덕대로 1579 (석봉동),,대덕구,,,대전광역시 대덕구 대덕대로 1579 (석봉동)
public_library,송촌도서관,대전광역시 대덕구 송촌로 59 (송촌동),,대덕구,,,대전광역시 대덕구 송촌로 59 (송촌동)
public_library,안산도서관,대전광역시 대덕구 계족로663번길 25 (법동),,대덕구,,,대전광역시 대덕구 계족로663번길 25 (법동)
public_library,용산도서관,대전광역시 유성구 배울1로 118 (용산동),,유성구,,,대전광역시 유성구 배울1로 118 (용산동)
public_library,월평도서관,대전광역시 서구 한밭대로 664 (갈마동),,서구,,,대전광역시 서구 한밭대로 664 (갈마동)
public_library,유성도서관,대전광역시 유성구 대덕대로 507-38 (가정동),,유성구,,,대전광역시 유성구 대덕대로 507-38 (가정동)
public_library,자양도서관,대전광역시 동구 백룡로 16 (자양동),,동구,,,대전광역시 동구 백룡로 16 (자양동)
public_library,전민도서관,대전광역시 유성구 문지로299번길 18 (문지동),,유성구,,,대전광역시 유성구 문지로299번길 18 (문지동)
public_library,진잠도서관,대전광역시 유성구 진잠로160번길 19 (원내동),,유성구,,,대전광역시 유성구 진잠로160번길 19 (원내동)
public_library,홍도도서관,대전광역시 동구 동산초교로34번길 56 (홍도동),,동구,,,대전광역시 동구 동산초교로34번길 56 (홍도동)
public_library,가수원도서관,대전광역시 서구 가수원로 91-11 (가수원동),,서구,,,대전광역시 서구 가수원로 91-11 (가수원동)
public_library,아가랑도서관,대전광역시 유성구 반석로 78 (반석동),,유성구,,,대전광역시 유성구 반석로 78 (반석동)
public_library,원신흥도서관,대전광역시 유성구 원신흥남로 59 (원신흥동),,유성구,,,대전광역시 유성구 원신흥남로 59 (원신흥동)
public_library,대전학생교육문화원,대전광역시 중구 동서대로 1360 (목동),,중구,,,대전광역시 중구 동서대로 1360 (목동)
