학기,학교명,유형,교과목명,교과구분,교과영역,교과군,대상학년,학점,수업장소,요일,유형표준,온라인여부,과목정제,표준과목명,계열,_norm_school
2025_1st,남대전고,오프라인,경제,보통교과,탐구,,2,3,거점학교(2-8),,오프라인,False,경제,경제,인문·사회,남대전고
2025_1st,남대전고,오프라인,고급수학Ⅱ,전문교과,전문교과Ⅰ,,"2,3",2,거점학교(물리실),,오프라인,False,고급수학2,고급수학2,자연·공학,남대전고
2025_1st,남대전고,오프라인,고급지구과학,전문교과,전문교과Ⅰ,,"2,3",2,거점학교(지구과학실),,오프라인,False,고급지구과학,고급지구과학,자연·공학,남대전고
2025_1st,남대전고,오프라인,고급화학,전문교과,전문교과Ⅰ,,"2,3",2,거점학교(1-1),,오프라인,False,고급화학,고급화학,자연·공학,남대전고
2025_1st,남대전고,오프라인,문학과매체,전문교과,전문교과Ⅰ,,"2,3",2,거점학교(도서관),,오프라인,False,문학과매체,문학과매체,인문·사회,남대전고
2025_1st,남대전고,오프라인,비교문화,전문교과,전문교과Ⅰ,,"2,3",3,거점학교(온카페),,오프라인,False,비교문화,비교문화,제2외국어·국제,남대전고
2025_1st,남대전고,오프라인,세계문제와미래사회,전문교과,전문교과Ⅰ,,"2,3",3,거점학교(온카페),,오프라인,False,세계문제와미래사회,세계문제와미래사회,인문·사회,남대전고
2025_1st,남대전고,오프라인,자동차일반,전문교과,전문교과Ⅱ,,"2,3",3,거점학교(컴퓨터실),,오프라인,False,자동차일반,자동차일반,진로·융합,남대전고
2025_1st,남대전고,오프라인,정보,보통교과,생활·교양,,"2,3",2,거점학교(컴퓨터실),,오프라인,False,정보,정보,정보·AI,남대전고
2025_1st,남대전고,오프라인,정보과학,전문교과,전문교과Ⅰ,,3,2,거점학교(컴퓨터실),,오프라인,False,정보과학,정보과학,정보·AI,남대전고
2025_1st,남대전고,오프라인,정치와법,보통교과,탐구,,"2,3",3,거점학교(2-8),,오프라인,False,정치와법,정치와법,인문·사회,남대전고
2025_1st,남대전고,오프라인,지식재산일반,보통교과,생활·교양,,"2,3",3,거점학교(컴퓨터실),,오프라인,False,지식재산일반,지식재산일반,진로·융합,남대전고
2025_1st,남대전고,오프라인,심화수학Ⅰ,전문교과,전문교과Ⅰ,,2,2,거점학교(1-3),,오프라인,False,심화수학1,심화수학1,자연·공학,남대전고
2025_1st,남대전고,오프라인,고급생명과학,전문교과,전문교과Ⅰ,,"2,3",2,거점학교(3-1),,오프라인,False,고급생명과학,고급생명과학,자연·공학,남대전고
2025_1st,남대전고,오프라인,실용통계,고시_외,고시_외,,"2,3",3,거점학교(3-2),,오프라인,False,실용통계,실용통계,기타,남대전고
2025_1st,남대전고,진로선택형,기초 수업 실연,비교과,인문(어문),,"1,2,3",해당없음(진로선택형),거점학교(1-7),,진로선택형,False,기초수업실연,기초수업실연,기타,남대전고
2025_1st,남대전고,진로선택형,나만의 이모티콘과 굿즈 만들기,비교과,예체능,,"1,2",해당없음(진로선택형),거점학교(미술실),,진로선택형,False,나만의이모티콘과굿즈만들기,나만의이모티콘과굿즈만들기,기타,남대전고
2025_1st,남대전고,진로선택형,미래공학자를 위한 메이커,비교과,자연과학,,"1,2,3",해당없음(진로선택형),거점학교(지구과학실),,진로선택형,False,미래공학자를위한메이커,미래공학자를위한메이커,자연·공학,남대전고
2025_1st,남대전고,진로선택형,밴드 합주 실습,비교과,예체능,,"1,2,3",해당없음(진로선택형),거점학교(음악실),,진로선택형,False,밴드합주실습,밴드합주실습,예체능,남대전고
2025_1st,남대전고,진로선택형,사이브릿지+공학연구단,비교과,자연과학,,1,해당없음(진로선택형),거점학교(물리실),,진로선택형,False,사이브릿지+공학연구단,사이브릿지+공학연구단,자연·공학,남대전고
2025_1st,남대전고,진로선택형,아두이노를 활용한 실생활 문제 해결,비교과,자연과학,,"1,2,3",해당없음(진로선택형),거점학교(물리실),,진로선택형,False,아두이노를활용한실생활문제해결,아두이노를활용한실생활문제해결,기타,남대전고
2025_1st,남대전고,진로선택형,통계를 활용한 사회문제 분석,비교과,사회과학,,"2,3",해당없음(진로선택형),거점학교(온카페),,진로선택형,False,통계를활용한사회문제분석,통계를활용한사회문제분석,인문·사회,남대전고
2025_1st,대덕고,오프라인,고급물리학,전문교과,전문교과Ⅰ,,3,2,거점학교(컴퓨터2실),,오프라인,False,고급물리학,고급물리학,자연·공학,대덕고
2025_1st,대덕고,오프라인,고급생명과학,전문교과,전문교과Ⅰ,,3,2,거점학교(다목적1실),,오프라인,False,고급생명과학,고급생명과학,자연·공학,대덕고
2025_1st,대덕고,오프라인,고급수학Ⅰ,전문교과,전문교과Ⅰ,,3,2,거점학교(다목적2실),,오프라인,False,고급수학1,고급수학1,자연·공학,대덕고
2025_1st,대전가오고,오프라인,물리학실험,전문교과,전문교과Ⅰ,,2,2,거점학교(과학1실),,오프라인,False,물리학실험,물리학실험,자연·공학,대전가오고
2025_1st,대전고,온라인,문학과매체,전문교과,전문교과Ⅰ,,2,2,교실온닷,,온라인,True,문학과매체,문학과매체,인문·사회,대전고
2025_1st,대전고,오프라인,과학과제연구,전문교과,전문교과Ⅰ,,2,2,거점학교(6층화학실),,오프라인,False,과학과제연구,과학과제연구,자연·공학,대전고
2025_1st,대전고,오프라인,생명과학실험,전문교과,전문교과Ⅰ,,3,2,거점학교(6층생명과학실),,오프라인,False,생명과학실험,생명과학실험,자연·공학,대전고
2025_1st,대전고,오프라인,환경,보통교과,생활·교양,,2,2,거점학교(6층생명과학실),,오프라인,False,환경,환경,자연·공학,대전고
2025_1st,대전관저고,오프라인,물리학실험,전문교과,전문교과Ⅰ,,"2,3",2,거점학교(물리지학실),,오프라인,False,물리학실험,물리학실험,자연·공학,대전관저고
2025_1st,대전관저고,오프라인,철학,보통교과,생활·교양,,"2,3",3,거점학교(1-4),,오프라인,False,철학,철학,인문·사회,대전관저고
2025_1st,대전괴정고,오프라인,철학,보통교과,생활·교양,,"2,3",2,거점학교(3-4),,오프라인,False,철학,철학,인문·사회,대전괴정고
2025_1st,대전괴정고,진로선택형,초급화성학,비교과,예체능,,"1,2,3",해당없음(진로선택형),거점학교(음악실),,진로선택형,False,초급화성학,초급화성학,기타,대전괴정고
2025_1st,대전괴정고,진로선택형,교육심리학: 학습과 성장의 힘,비교과,기타,,"1,2,3",해당없음(진로선택형),거점학교(위클래스),,진로선택형,False,교육심리학:학습과성장의힘,교육심리학:학습과성장의힘,인문·사회,대전괴정고
2025_1st,대전괴정고,진로선택형,나도 배구 스파이크 할 수 있어!,비교과,예체능,,"1, 2, 3",해당없음(진로선택형),거점학교(체육관),,진로선택형,False,나도배구스파이크할수있어!,나도배구스파이크할수있어!,기타,대전괴정고
2025_1st,대전구봉고,오프라인,화학실험,전문교과,전문교과Ⅰ,,3,2,거점학교(과학2실),,오프라인,False,화학실험,화학실험,자연·공학,대전구봉고
2025_1st,대전구봉고,오프라인,지구과학실험,전문교과,전문교과Ⅰ,,"2,3",2,거점학교(3-2교실),,오프라인,False,지구과학실험,지구과학실험,자연·공학,대전구봉고
2025_1st,대전구봉고,오프라인,고급지구과학,전문교과,전문교과Ⅰ,,3,2,거점학교(3-2교실),,오프라인,False,고급지구과학,고급지구과학,자연·공학,대전구봉고
2025_1st,대전국제통상고,진로선택형,나만의 영상 만들기,비교과,예체능,,"1,2,3",해당없음(진로선택형),거점학교(편집실2),,진로선택형,False,나만의영상만들기,나만의영상만들기,기타,대전국제통상고
2025_1st,대전국제통상고,진로선택형,디저트 제작소,비교과,기타,,"1,2,3",해당없음(진로선택형),거점학교(조리제빵실),,진로선택형,False,디저트제작소,디저트제작소,기타,대전국제통상고
2025_1st,대전국제통상고,진로선택형,맛있는 세계여행,비교과,기타,,"1,2,3",해당없음(진로선택형),거점학교(한식조리실),,진로선택형,False,맛있는세계여행,맛있는세계여행,기타,대전국제통상고
