school_code,school,grade,date,period,status,message,n
7430046,남대전고등학교,2,20250317,2025_1st,OK,61 rows,61
7430046,남대전고등학교,2,20250324,2025_1st,OK,61 rows,61
7430046,남대전고등학교,2,20250331,2025_1st,OK,61 rows,61
7430046,남대전고등학교,2,20250404,2025_1st,OK,64 rows,64
7430046,남대전고등학교,2,20250411,2025_1st,OK,64 rows,64
7430046,남대전고등학교,2,20250908,2025_2nd,OK,67 rows,67
7430046,남대전고등학교,2,20250912,2025_2nd,OK,67 rows,67
7430046,남대전고등학교,2,20250917,2025_2nd,OK,67 rows,67
7430046,남대전고등학교,2,20250922,2025_2nd,OK,67 rows,67
7430046,남대전고등학교,2,20250926,2025_2nd,OK,67 rows,67
7430046,남대전고등학교,3,20250317,2025_1st,OK,66 rows,66
7430046,남대전고등학교,3,20250324,2025_1st,OK,66 rows,66
7430046,남대전고등학교,3,20250331,2025_1st,OK,66 rows,66
7430046,남대전고등학교,3,20250404,2025_1st,OK,65 rows,65
7430046,남대전고등학교,3,20250411,2025_1st,OK,65 rows,65
7430046,남대전고등학교,3,20250908,2025_2nd,OK,61 rows,61
7430046,남대전고등학교,3,20250912,2025_2nd,OK,66 rows,66
7430046,남대전고등학교,3,20250917,2025_2nd,OK,66 rows,66
7430046,남대전고등학교,3,20250922,2025_2nd,OK,61 rows,61
7430046,남대전고등학교,3,20250926,2025_2nd,OK,66 rows,66
7430030,대덕고등학교,2,20250317,2025_1st,OK,60 rows,60
7430030,대덕고등학교,2,20250324,2025_1st,OK,60 rows,60
7430030,대덕고등학교,2,20250331,2025_1st,OK,60 rows,60
7430030,대덕고등학교,2,20250404,2025_1st,OK,60 rows,60
7430030,대덕고등학교,2,20250411,2025_1st,OK,60 rows,60
7430030,대덕고등학교,2,20250908,2025_2nd,OK,60 rows,60
7430030,대덕고등학교,2,20250912,2025_2nd,OK,60 rows,60
7430030,대덕고등학교,2,20250917,2025_2nd,OK,70 rows,70
7430030,대덕고등학교,2,20250922,2025_2nd,OK,60 rows,60
7430030,대덕고등학교,2,20250926,2025_2nd,OK,60 rows,60
7430030,대덕고등학교,3,20250317,2025_1st,OK,66 rows,66
7430030,대덕고등학교,3,20250324,2025_1st,OK,66 rows,66
7430030,대덕고등학교,3,20250331,2025_1st,OK,66 rows,66
7430030,대덕고등학교,3,20250404,2025_1st,OK,65 rows,65
7430030,대덕고등학교,3,20250411,2025_1st,OK,65 rows,65
7430030,대덕고등학교,3,20250908,2025_2nd,OK,68 rows,68
7430030,대덕고등학교,3,20250912,2025_2nd,OK,43 rows,43
7430030,대덕고등학교,3,20250917,2025_2nd,OK,72 rows,72
7430030,대덕고등학교,3,20250922,2025_2nd,OK,68 rows,68
7430030,대덕고등학교,3,20250926,2025_2nd,OK,43 rows,43
7430241,대전가오고등학교,2,20250317,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,2,20250324,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,2,20250331,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,2,20250404,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,2,20250411,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,2,20250908,2025_2nd,OK,48 rows,48
7430241,대전가오고등학교,2,20250912,2025_2nd,OK,48 rows,48
7430241,대전가오고등학교,2,20250917,2025_2nd,OK,56 rows,56
7430241,대전가오고등학교,2,20250922,2025_2nd,OK,48 rows,48
7430241,대전가오고등학교,2,20250926,2025_2nd,OK,48 rows,48
7430241,대전가오고등학교,3,20250317,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,3,20250324,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,3,20250331,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,3,20250404,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,3,20250411,2025_1st,OK,48 rows,48
7430241,대전가오고등학교,3,20250908,2025_2nd,OK,48 rows,48
7430241,대전가오고등학교,3,20250912,2025_2nd,OK,48 rows,48
7430241,대전가오고등학교,3,20250917,2025_2nd,OK,56 rows,56
7430241,대전가오고등학교,3,20250922,2025_2nd,OK,48 rows,48
7430241,대전가오고등학교,3,20250926,2025_2nd,OK,48 rows,48
7430031,대전고등학교,2,20250317,2025_1st,OK,84 rows,84
7430031,대전고등학교,2,20250324,2025_1st,OK,84 rows,84
7430031,대전고등학교,2,20250331,2025_1st,OK,84 rows,84
7430031,대전고등학교,2,20250404,2025_1st,OK,72 rows,72
7430031,대전고등학교,2,20250411,2025_1st,OK,72 rows,72
7430031,대전고등학교,2,20250908,2025_2nd,OK,72 rows,72
7430031,대전고등학교,2,20250912,2025_2nd,OK,72 rows,72
7430031,대전고등학교,2,20250917,2025_2nd,OK,84 rows,84
7430031,대전고등학교,2,20250922,2025_2nd,OK,84 rows,84
7430031,대전고등학교,2,20250926,2025_2nd,OK,72 rows,72
7430031,대전고등학교,3,20250317,2025_1st,OK,84 rows,84
7430031,대전고등학교,3,20250324,2025_1st,OK,84 rows,84
7430031,대전고등학교,3,20250331,2025_1st,OK,84 rows,84
7430031,대전고등학교,3,20250404,2025_1st,OK,72 rows,72
7430031,대전고등학교,3,20250411,2025_1st,OK,72 rows,72
7430031,대전고등학교,3,20250908,2025_2nd,OK,72 rows,72
7430031,대전고등학교,3,20250912,2025_2nd,OK,72 rows,72
7430031,대전고등학교,3,20250917,2025_2nd,OK,72 rows,72
7430031,대전고등학교,3,20250922,2025_2nd,OK,72 rows,72
7430031,대전고등학교,3,20250926,2025_2nd,OK,72 rows,72
7430033,대전관저고등학교,2,20250317,2025_1st,OK,64 rows,64
7430033,대전관저고등학교,2,20250324,2025_1st,OK,64 rows,64
7430033,대전관저고등학교,2,20250331,2025_1st,OK,64 rows,64
7430033,대전관저고등학교,2,20250404,2025_1st,OK,65 rows,65
7430033,대전관저고등학교,2,20250411,2025_1st,OK,65 rows,65
7430033,대전관저고등학교,2,20250908,2025_2nd,OK,64 rows,64
7430033,대전관저고등학교,2,20250912,2025_2nd,OK,65 rows,65
7430033,대전관저고등학교,2,20250917,2025_2nd,OK,36 rows,36
7430033,대전관저고등학교,2,20250922,2025_2nd,OK,64 rows,64
7430033,대전관저고등학교,2,20250926,2025_2nd,OK,38 rows,38
7430033,대전관저고등학교,3,20250317,2025_1st,OK,56 rows,56
7430033,대전관저고등학교,3,20250324,2025_1st,OK,56 rows,56
7430033,대전관저고등학교,3,20250331,2025_1st,OK,56 rows,56
7430033,대전관저고등학교,3,20250404,2025_1st,OK,67 rows,67
7430033,대전관저고등학교,3,20250411,2025_1st,OK,67 rows,67
7430033,대전관저고등학교,3,20250908,2025_2nd,OK,56 rows,56
7430033,대전관저고등학교,3,20250912,2025_2nd,OK,67 rows,67
7430033,대전관저고등학교,3,20250917,2025_2nd,OK,37 rows,37
7430033,대전관저고등학교,3,20250922,2025_2nd,OK,56 rows,56
7430033,대전관저고등학교,3,20250926,2025_2nd,OK,36 rows,36
7430237,대전괴정고등학교,2,20250317,2025_1st,OK,60 rows,60
7430237,대전괴정고등학교,2,20250324,2025_1st,OK,60 rows,60
7430237,대전괴정고등학교,2,20250331,2025_1st,OK,60 rows,60
7430237,대전괴정고등학교,2,20250404,2025_1st,OK,60 rows,60
7430237,대전괴정고등학교,2,20250411,2025_1st,OK,60 rows,60
7430237,대전괴정고등학교,2,20250908,2025_2nd,OK,60 rows,60
7430237,대전괴정고등학교,2,20250912,2025_2nd,OK,60 rows,60
7430237,대전괴정고등학교,2,20250917,2025_2nd,OK,60 rows,60
