_norm_school,계열,강좌수,고유과목수
남대전고,기타,6,4
남대전고,예체능,2,2
남대전고,인문·사회,8,5
남대전고,자연·공학,8,8
남대전고,정보·AI,3,3
남대전고,제2외국어·국제,1,1
남대전고,진로·융합,3,2
대덕고,자연·공학,5,4
대전가오고,자연·공학,3,2
대전고,인문·사회,4,3
대전고,자연·공학,4,3
대전관저고,인문·사회,1,1
대전관저고,자연·공학,3,2
대전괴정고,기타,3,3
대전괴정고,인문·사회,3,2
대전구봉고,자연·공학,7,4
대전국제통상고,기타,11,9
대전국제통상고,예체능,2,2
대전노은고,기타,2,2
대전노은고,인문·사회,2,2
대전노은고,자연·공학,5,3
대전대성고,기타,2,2
대전대성고,인문·사회,1,1
대전대성고,자연·공학,6,5
대전대성고,정보·AI,3,2
대전대성고,제2외국어·국제,2,2
대전대성여자고,기타,2,2
대전대신고,기타,1,1
대전대신고,인문·사회,6,4
대전대신고,자연·공학,1,1
대전대신고,정보·AI,2,2
대전대신고,제2외국어·국제,2,1
대전도시과학고,기타,4,4
대전도시과학고,인문·사회,1,1
대전도시과학고,진로·융합,1,1
대전도안고,인문·사회,1,1
대전도안고,자연·공학,5,5
대전동산고,기타,2,2
대전동산고,인문·사회,6,4
대전동산고,자연·공학,9,5
대전동신과학고,인문·사회,1,1
대전동신과학고,자연·공학,1,1
대전둔산여자고,인문·사회,1,1
대전둔산여자고,자연·공학,7,5
대전둔산여자고,정보·AI,1,1
대전둔원고,기타,2,2
대전둔원고,인문·사회,2,1
대전둔원고,자연·공학,4,3
대전둔원고,정보·AI,4,2
대전둔원고,제2외국어·국제,1,1
대전만년고,기타,2,2
대전만년고,자연·공학,4,3
대전반석고,예체능,2,2
대전반석고,인문·사회,3,3
대전반석고,자연·공학,8,6
대전복수고,인문·사회,1,1
대전복수고,자연·공학,2,1
대전산업정보고,기타,14,13
대전산업정보고,예체능,2,1
대전산업정보고,자연·공학,1,1
대전산업정보고,정보·AI,3,3
대전산업정보고,진로·융합,1,1
대전생활과학고,기타,3,3
대전생활과학고,인문·사회,3,3
대전성모여고,기타,2,2
대전성모여고,예체능,1,1
대전성모여고,인문·사회,1,1
대전성모여고,자연·공학,4,4
대전성모여자고,기타,3,3
대전성모여자고,인문·사회,1,1
대전성모여자고,자연·공학,2,2
대전송촌고,인문·사회,2,1
대전송촌고,자연·공학,6,4
대전신일여자고,기타,5,5
대전신일여자고,예체능,3,3
대전신일여자고,인문·사회,1,1
대전신일여자고,자연·공학,1,1
대전신일여자고,정보·AI,3,3
대전신일여자고,진로·융합,2,1
대전여자고,기타,2,2
대전여자고,인문·사회,1,1
대전여자고,자연·공학,1,1
대전여자고,정보·AI,1,1
대전여자고,제2외국어·국제,1,1
대전여자고,진로·융합,1,1
대전여자상업고,정보·AI,2,1
대전예술고,예체능,3,2
대전외국어고,기타,1,1
대전외국어고,예체능,4,4
대전외국어고,인문·사회,1,1
대전외국어고,제2외국어·국제,8,5
대전용산고,인문·사회,1,1
대전이문고,기타,1,1
대전전민고,기타,1,1
대전전민고,예체능,1,1
대전전민고,인문·사회,1,1
대전전민고,자연·공학,2,1
대전전민고,제2외국어·국제,1,1
대전전민고,진로·융합,1,1
대전제일고,기타,2,2
대전제일고,예체능,1,1
대전제일고,인문·사회,6,5
대전제일고,자연·공학,3,3
대전제일고,제2외국어·국제,2,1
대전제일고,진로·융합,1,1
대전중앙고,기타,1,1
대전중앙고,인문·사회,3,2
대전중앙고,자연·공학,7,4
