학교명,자체과목수,인근학교수_2km,보완가능과목수_2km,인근학교수_3km,보완가능과목수_3km,인근학교수_5km,보완가능과목수_5km,인근학교수_7km,보완가능과목수_7km
남대전고등학교,48,2,27,7,47,11,57,19,77
대덕고등학교,56,1,11,2,15,8,47,20,139
대전가오고등학교,39,0,0,3,38,10,62,11,62
대전관저고등학교,49,2,20,5,32,14,143,18,151
대전괴정고등학교,53,4,38,5,43,19,144,29,170
대전구봉고등학교,47,4,31,4,31,9,50,15,145
대전도안고등학교,46,2,106,4,113,16,150,24,161
대전동산고등학교,47,3,35,8,51,18,76,25,87
대전둔산여자고등학교,54,5,40,6,43,17,138,28,164
대전둔원고등학교,58,5,38,6,39,19,139,29,164
대전만년고등학교,52,2,27,5,40,14,141,24,152
대전반석고등학교,50,2,24,2,24,4,114,10,135
대전복수고등학교,56,1,7,4,32,17,66,24,154
대전성모여자고등학교,43,7,53,8,56,16,74,22,89
대전예술고등학교,96,2,56,3,59,13,94,20,107
대전용산고등학교,49,1,5,2,15,5,49,6,50
대전이문고등학교,70,1,6,1,6,3,14,4,20
대전전민고등학교,50,1,17,3,25,5,33,14,72
대전제일고등학교,44,2,25,4,40,19,80,27,169
대전중앙고등학교,43,4,41,7,47,19,78,23,86
대전지족고등학교,57,2,17,2,17,5,107,11,128
대전한빛고등학교,45,0,0,1,19,8,49,17,78
동대전고등학교,48,0,0,4,26,13,64,21,78
동방고등학교,51,2,18,6,38,9,46,20,154
명석고등학교,53,0,0,2,15,8,41,12,51
보문고등학교,48,5,39,9,51,15,67,21,78
서대전고등학교,52,4,38,5,42,14,141,26,159
서대전여자고등학교,40,3,41,6,57,20,162,28,175
서일고등학교,51,2,10,4,27,7,43,12,134
서일여자고등학교,42,2,19,4,36,8,53,12,143
신탄진고등학교,40,1,36,1,36,2,41,4,50
우송고등학교,46,1,14,8,48,11,55,16,71
유성고등학교,66,2,86,3,89,13,124,20,137
유성여자고등학교,56,2,18,2,18,7,121,14,135
중일고등학교,38,1,16,2,26,4,58,8,74
청란여자고등학교,50,2,25,7,45,9,49,18,74
충남여자고등학교,55,5,32,8,44,18,66,25,80
한밭고등학교,52,4,41,9,130,17,142,29,163
호수돈여자고등학교,47,5,40,8,52,18,74,22,85
