from_school,to_school,distance_km
남대전고등학교,대덕고등학교,9.4893
남대전고등학교,대전가오고등학교,2.3884
남대전고등학교,대전관저고등학교,8.0693
남대전고등학교,대전괴정고등학교,5.4886
남대전고등학교,대전구봉고등학교,8.8385
남대전고등학교,대전도안고등학교,8.6142
남대전고등학교,대전동산고등학교,2.1738
남대전고등학교,대전둔산여자고등학교,6.7757
남대전고등학교,대전둔원고등학교,6.0419
남대전고등학교,대전만년고등학교,7.976
남대전고등학교,대전반석고등학교,13.286
남대전고등학교,대전복수고등학교,4.9213
남대전고등학교,대전성모여자고등학교,1.5573
남대전고등학교,대전예술고등학교,9.3546
남대전고등학교,대전용산고등학교,12.5889
남대전고등학교,대전이문고등학교,15.1902
남대전고등학교,대전전민고등학교,10.091
남대전고등학교,대전제일고등학교,4.9775
남대전고등학교,대전중앙고등학교,3.2912
남대전고등학교,대전지족고등학교,12.5257
남대전고등학교,대전한빛고등학교,5.8813
남대전고등학교,동대전고등학교,5.0775
남대전고등학교,동방고등학교,7.4011
남대전고등학교,명석고등학교,5.2596
남대전고등학교,보문고등학교,2.9352
남대전고등학교,서대전고등학교,7.5792
남대전고등학교,서대전여자고등학교,5.5513
남대전고등학교,서일고등학교,9.535
남대전고등학교,서일여자고등학교,9.5215
남대전고등학교,신탄진고등학교,15.4686
남대전고등학교,우송고등학교,3.0768
남대전고등학교,유성고등학교,9.3686
남대전고등학교,유성여자고등학교,12.0774
남대전고등학교,중일고등학교,12.6993
남대전고등학교,청란여자고등학교,0.1531
남대전고등학교,충남여자고등학교,2.58
남대전고등학교,한밭고등학교,6.9339
남대전고등학교,호수돈여자고등학교,2.1401
대덕고등학교,남대전고등학교,9.4893
대덕고등학교,대전가오고등학교,10.7536
대덕고등학교,대전관저고등학교,9.3988
대덕고등학교,대전괴정고등학교,5.2513
대덕고등학교,대전구봉고등학교,11.1917
대덕고등학교,대전도안고등학교,6.8922
대덕고등학교,대전동산고등학교,8.2038
대덕고등학교,대전둔산여자고등학교,3.9202
대덕고등학교,대전둔원고등학교,5.0303
대덕고등학교,대전만년고등학교,2.388
대덕고등학교,대전반석고등학교,6.1018
대덕고등학교,대전복수고등학교,9.3465
대덕고등학교,대전성모여자고등학교,7.9476
대덕고등학교,대전예술고등학교,6.2424
대덕고등학교,대전용산고등학교,3.9296
대덕고등학교,대전이문고등학교,7.623
대덕고등학교,대전전민고등학교,1.9113
대덕고등학교,대전제일고등학교,8.2993
대덕고등학교,대전중앙고등학교,6.2174
대덕고등학교,대전지족고등학교,6.0053
대덕고등학교,대전한빛고등학교,11.8468
대덕고등학교,동대전고등학교,5.1201
대덕고등학교,동방고등학교,10.2064
대덕고등학교,명석고등학교,7.5497
대덕고등학교,보문고등학교,6.7894
대덕고등학교,서대전고등학교,3.2403
대덕고등학교,서대전여자고등학교,6.7416
대덕고등학교,서일고등학교,11.6987
대덕고등학교,서일여자고등학교,11.6055
대덕고등학교,신탄진고등학교,8.4446
대덕고등학교,우송고등학교,7.9598
대덕고등학교,유성고등학교,5.9859
대덕고등학교,유성여자고등학교,4.7344
대덕고등학교,중일고등학교,3.7174
대덕고등학교,청란여자고등학교,9.558
대덕고등학교,충남여자고등학교,6.9551
대덕고등학교,한밭고등학교,4.8226
대덕고등학교,호수돈여자고등학교,7.3769
대전가오고등학교,남대전고등학교,2.3884
대전가오고등학교,대덕고등학교,10.7536
대전가오고등학교,대전관저고등학교,10.4577
대전가오고등학교,대전괴정고등학교,7.5396
대전가오고등학교,대전구봉고등학교,11.191
대전가오고등학교,대전도안고등학교,10.8944
대전가오고등학교,대전동산고등학교,4.5194
대전가오고등학교,대전둔산여자고등학교,8.6622
대전가오고등학교,대전둔원고등학교,8.0973
대전가오고등학교,대전만년고등학교,9.638
대전가오고등학교,대전반석고등학교,15.2071
대전가오고등학교,대전복수고등학교,7.2886
대전가오고등학교,대전성모여자고등학교,3.4971
대전가오고등학교,대전예술고등학교,11.5592
대전가오고등학교,대전용산고등학교,13.3438
대전가오고등학교,대전이문고등학교,15.4463
대전가오고등학교,대전전민고등학교,10.9693
대전가오고등학교,대전제일고등학교,7.3637
대전가오고등학교,대전중앙고등학교,4.7086
대전가오고등학교,대전지족고등학교,14.5157
대전가오고등학교,대전한빛고등학교,7.9721
대전가오고등학교,동대전고등학교,5.7765
대전가오고등학교,동방고등학교,9.7662
대전가오고등학교,명석고등학교,4.7066
대전가오고등학교,보문고등학교,3.9945
대전가오고등학교,서대전고등학교,9.3914
대전가오고등학교,서대전여자고등학교,7.8416
대전가오고등학교,서일고등학교,11.8822
대전가오고등학교,서일여자고등학교,11.8731
대전가오고등학교,신탄진고등학교,15.55
대전가오고등학교,우송고등학교,2.9653
대전가오고등학교,유성고등학교,11.5482
대전가오고등학교,유성여자고등학교,13.9288
대전가오고등학교,중일고등학교,13.5621
대전가오고등학교,청란여자고등학교,2.2354
대전가오고등학교,충남여자고등학교,4.4131
대전가오고등학교,한밭고등학교,8.9996
대전가오고등학교,호수돈여자고등학교,4.0031
대전관저고등학교,남대전고등학교,8.0693
대전관저고등학교,대덕고등학교,9.3988
대전관저고등학교,대전가오고등학교,10.4577
대전관저고등학교,대전괴정고등학교,4.937
대전관저고등학교,대전구봉고등학교,1.7988
대전관저고등학교,대전도안고등학교,2.9041
대전관저고등학교,대전동산고등학교,6.008
대전관저고등학교,대전둔산여자고등학교,5.6664
대전관저고등학교,대전둔원고등학교,4.7817
대전관저고등학교,대전만년고등학교,7.0268
대전관저고등학교,대전반석고등학교,8.7372
대전관저고등학교,대전복수고등학교,3.3039
대전관저고등학교,대전성모여자고등학교,7.331
대전관저고등학교,대전예술고등학교,4.037
대전관저고등학교,대전용산고등학교,13.3138
대전관저고등학교,대전이문고등학교,17.0081
대전관저고등학교,대전전민고등학교,11.1423
대전관저고등학교,대전제일고등학교,3.1123
대전관저고등학교,대전중앙고등학교,7.5529
대전관저고등학교,대전지족고등학교,7.7329
대전관저고등학교,대전한빛고등학교,4.5803
대전관저고등학교,동대전고등학교,9.2062
대전관저고등학교,동방고등학교,1.3903
대전관저고등학교,명석고등학교,11.4401
대전관저고등학교,보문고등학교,8.2662
대전관저고등학교,서대전고등학교,6.1778
대전관저고등학교,서대전여자고등학교,3.4143
대전관저고등학교,서일고등학교,2.3197
대전관저고등학교,서일여자고등학교,2.2344
대전관저고등학교,신탄진고등학교,17.7711
대전관저고등학교,우송고등학교,9.8107
대전관저고등학교,유성고등학교,4.2794
대전관저고등학교,유성여자고등학교,8.2423
대전관저고등학교,중일고등학교,13.0246
대전관저고등학교,청란여자고등학교,8.2224
대전관저고등학교,충남여자고등학교,6.9157
대전관저고등학교,한밭고등학교,4.6306
대전관저고등학교,호수돈여자고등학교,7.0978
대전괴정고등학교,남대전고등학교,5.4886
대전괴정고등학교,대덕고등학교,5.2513
대전괴정고등학교,대전가오고등학교,7.5396
대전괴정고등학교,대전관저고등학교,4.937
대전괴정고등학교,대전구봉고등학교,6.5741
대전괴정고등학교,대전도안고등학교,3.7394
대전괴정고등학교,대전동산고등학교,3.5456
대전괴정고등학교,대전둔산여자고등학교,1.4838
대전괴정고등학교,대전둔원고등학교,0.5583
대전괴정고등학교,대전만년고등학교,3.0331
대전괴정고등학교,대전반석고등학교,7.8078
대전괴정고등학교,대전복수고등학교,4.1004
대전괴정고등학교,대전성모여자고등학교,4.0582
대전괴정고등학교,대전예술고등학교,4.1207
대전괴정고등학교,대전용산고등학교,9.0921
대전괴정고등학교,대전이문고등학교,12.5411
대전괴정고등학교,대전전민고등학교,6.6741
대전괴정고등학교,대전제일고등학교,3.0676
대전괴정고등학교,대전중앙고등학교,3.2272
대전괴정고등학교,대전지족고등학교,7.0372
대전괴정고등학교,대전한빛고등학교,6.5965
대전괴정고등학교,동대전고등학교,4.3838
대전괴정고등학교,동방고등학교,5.3272
대전괴정고등학교,명석고등학교,6.8967
대전괴정고등학교,보문고등학교,4.0739
대전괴정고등학교,서대전고등학교,2.3481
대전괴정고등학교,서대전여자고등학교,1.6357
대전괴정고등학교,서일고등학교,7.2019
대전괴정고등학교,서일여자고등학교,7.1293
대전괴정고등학교,신탄진고등학교,13.1851
대전괴정고등학교,우송고등학교,5.7576
대전괴정고등학교,유성고등학교,4.0668
대전괴정고등학교,유성여자고등학교,6.6423
대전괴정고등학교,중일고등학교,8.9527
대전괴정고등학교,청란여자고등학교,5.6123
대전괴정고등학교,충남여자고등학교,3.1385
대전괴정고등학교,한밭고등학교,1.4604
대전괴정고등학교,호수돈여자고등학교,3.5368
대전구봉고등학교,남대전고등학교,8.8385
대전구봉고등학교,대덕고등학교,11.1917
대전구봉고등학교,대전가오고등학교,11.191
대전구봉고등학교,대전관저고등학교,1.7988
대전구봉고등학교,대전괴정고등학교,6.5741
대전구봉고등학교,대전도안고등학교,4.6323
