학교명,계열,계열과목수
남대전고등학교,예체능,3
남대전고등학교,인문·사회,18
남대전고등학교,자연·공학,20
남대전고등학교,정보·AI,2
남대전고등학교,제2외국어·국제,5
대덕고등학교,예체능,6
대덕고등학교,인문·사회,25
대덕고등학교,자연·공학,16
대덕고등학교,정보·AI,2
대덕고등학교,제2외국어·국제,7
대전가오고등학교,예체능,3
대전가오고등학교,인문·사회,16
대전가오고등학교,자연·공학,14
대전가오고등학교,정보·AI,1
대전가오고등학교,제2외국어·국제,5
대전고등학교,예체능,5
대전고등학교,인문·사회,21
대전고등학교,자연·공학,17
대전고등학교,제2외국어·국제,5
대전관저고등학교,예체능,6
대전관저고등학교,인문·사회,16
대전관저고등학교,자연·공학,18
대전관저고등학교,정보·AI,2
대전관저고등학교,제2외국어·국제,7
대전괴정고등학교,예체능,5
대전괴정고등학교,인문·사회,20
대전괴정고등학교,자연·공학,16
대전괴정고등학교,제2외국어·국제,9
대전괴정고등학교,진로·융합,3
대전구봉고등학교,예체능,6
대전구봉고등학교,인문·사회,17
대전구봉고등학교,자연·공학,16
대전구봉고등학교,정보·AI,2
대전구봉고등학교,제2외국어·국제,6
대전노은고등학교,예체능,5
대전노은고등학교,인문·사회,27
대전노은고등학교,자연·공학,28
대전노은고등학교,제2외국어·국제,6
대전노은고등학교,진로·융합,1
대전대성고등학교,예체능,3
대전대성고등학교,인문·사회,19
대전대성고등학교,자연·공학,25
대전대성고등학교,정보·AI,1
대전대성고등학교,제2외국어·국제,5
대전대신고등학교,예체능,4
대전대신고등학교,인문·사회,22
대전대신고등학교,자연·공학,27
대전대신고등학교,정보·AI,4
대전대신고등학교,제2외국어·국제,11
대전대신고등학교,진로·융합,1
대전도안고등학교,예체능,4
대전도안고등학교,인문·사회,17
대전도안고등학교,자연·공학,16
대전도안고등학교,정보·AI,2
대전도안고등학교,제2외국어·국제,7
대전동산고등학교,예체능,3
대전동산고등학교,인문·사회,17
대전동산고등학교,자연·공학,19
대전동산고등학교,정보·AI,1
대전동산고등학교,제2외국어·국제,7
대전둔산여자고등학교,예체능,6
대전둔산여자고등학교,인문·사회,17
대전둔산여자고등학교,자연·공학,18
대전둔산여자고등학교,정보·AI,3
대전둔산여자고등학교,제2외국어·국제,10
대전둔원고등학교,예체능,6
대전둔원고등학교,인문·사회,23
대전둔원고등학교,자연·공학,20
대전둔원고등학교,정보·AI,1
대전둔원고등학교,제2외국어·국제,7
대전둔원고등학교,진로·융합,1
대전만년고등학교,예체능,4
대전만년고등학교,인문·사회,21
대전만년고등학교,자연·공학,19
대전만년고등학교,정보·AI,1
대전만년고등학교,제2외국어·국제,7
대전반석고등학교,예체능,4
대전반석고등학교,인문·사회,20
대전반석고등학교,자연·공학,17
대전반석고등학교,정보·AI,1
대전반석고등학교,제2외국어·국제,7
대전반석고등학교,진로·융합,1
대전복수고등학교,예체능,5
대전복수고등학교,인문·사회,24
대전복수고등학교,자연·공학,17
대전복수고등학교,정보·AI,1
대전복수고등학교,제2외국어·국제,7
대전복수고등학교,진로·융합,2
대전성모여자고등학교,예체능,6
대전성모여자고등학교,인문·사회,11
대전성모여자고등학교,자연·공학,17
대전성모여자고등학교,제2외국어·국제,8
대전성모여자고등학교,진로·융합,1
대전송촌고등학교,예체능,6
대전송촌고등학교,인문·사회,14
대전송촌고등학교,자연·공학,15
대전송촌고등학교,정보·AI,1
대전송촌고등학교,제2외국어·국제,6
대전송촌고등학교,진로·융합,1
대전여자고등학교,예체능,7
대전여자고등학교,인문·사회,22
대전여자고등학교,자연·공학,18
대전여자고등학교,정보·AI,2
대전여자고등학교,제2외국어·국제,8
대전여자고등학교,진로·융합,1
대전예술고등학교,예체능,82
대전예술고등학교,인문·사회,7
대전예술고등학교,자연·공학,2
대전예술고등학교,제2외국어·국제,4
대전예술고등학교,진로·융합,1
대전용산고등학교,예체능,7
대전용산고등학교,인문·사회,18
대전용산고등학교,자연·공학,16
대전용산고등학교,정보·AI,1
대전용산고등학교,제2외국어·국제,6
대전용산고등학교,진로·융합,1
대전이문고등학교,예체능,2
대전이문고등학교,인문·사회,27
대전이문고등학교,자연·공학,25
대전이문고등학교,정보·AI,5
대전이문고등학교,제2외국어·국제,11
대전전민고등학교,예체능,7
대전전민고등학교,인문·사회,19
대전전민고등학교,자연·공학,19
대전전민고등학교,정보·AI,1
대전전민고등학교,제2외국어·국제,4
대전제일고등학교,예체능,4
대전제일고등학교,인문·사회,17
대전제일고등학교,자연·공학,14
대전제일고등학교,정보·AI,1
대전제일고등학교,제2외국어·국제,8
대전중앙고등학교,예체능,4
대전중앙고등학교,인문·사회,16
대전중앙고등학교,자연·공학,16
대전중앙고등학교,정보·AI,1
대전중앙고등학교,제2외국어·국제,5
대전중앙고등학교,진로·융합,1
대전지족고등학교,예체능,7
대전지족고등학교,인문·사회,23
대전지족고등학교,자연·공학,18
대전지족고등학교,제2외국어·국제,7
대전지족고등학교,진로·융합,2
대전한빛고등학교,예체능,5
대전한빛고등학교,인문·사회,15
대전한빛고등학교,자연·공학,18
대전한빛고등학교,제2외국어·국제,7
동대전고등학교,예체능,4
동대전고등학교,인문·사회,18
동대전고등학교,자연·공학,18
동대전고등학교,정보·AI,1
동대전고등학교,제2외국어·국제,7
동방고등학교,예체능,4
동방고등학교,인문·사회,18
동방고등학교,자연·공학,17
동방고등학교,정보·AI,1
동방고등학교,제2외국어·국제,10
동방고등학교,진로·융합,1
명석고등학교,예체능,3
명석고등학교,인문·사회,19
명석고등학교,자연·공학,19
명석고등학교,정보·AI,3
명석고등학교,제2외국어·국제,7
명석고등학교,진로·융합,2
보문고등학교,예체능,5
보문고등학교,인문·사회,19
보문고등학교,자연·공학,17
보문고등학교,제2외국어·국제,7
서대전고등학교,예체능,4
서대전고등학교,인문·사회,18
서대전고등학교,자연·공학,21
서대전고등학교,제2외국어·국제,8
서대전고등학교,진로·융합,1
서대전여자고등학교,예체능,3
서대전여자고등학교,인문·사회,13
서대전여자고등학교,자연·공학,16
서대전여자고등학교,제2외국어·국제,8
서일고등학교,예체능,4
서일고등학교,인문·사회,20
서일고등학교,자연·공학,19
서일고등학교,제2외국어·국제,7
서일고등학교,진로·융합,1
서일여자고등학교,예체능,4
서일여자고등학교,인문·사회,15
서일여자고등학교,자연·공학,17
서일여자고등학교,제2외국어·국제,5
서일여자고등학교,진로·융합,1
신탄진고등학교,예체능,4
신탄진고등학교,인문·사회,16
신탄진고등학교,자연·공학,14
신탄진고등학교,제2외국어·국제,6
우송고등학교,예체능,4
우송고등학교,인문·사회,13
우송고등학교,자연·공학,22
우송고등학교,제2외국어·국제,7
유성고등학교,예체능,7
유성고등학교,인문·사회,25
유성고등학교,자연·공학,20
유성고등학교,정보·AI,2
유성고등학교,제2외국어·국제,9
유성고등학교,진로·융합,3
유성여자고등학교,예체능,7
유성여자고등학교,인문·사회,18
유성여자고등학교,자연·공학,20
유성여자고등학교,정보·AI,2
유성여자고등학교,제2외국어·국제,7
유성여자고등학교,진로·융합,2
중일고등학교,예체능,4
중일고등학교,인문·사회,14
중일고등학교,자연·공학,14
중일고등학교,정보·AI,1
중일고등학교,제2외국어·국제,5
청란여자고등학교,예체능,4
청란여자고등학교,인문·사회,16
청란여자고등학교,자연·공학,17
청란여자고등학교,정보·AI,2
청란여자고등학교,제2외국어·국제,8
청란여자고등학교,진로·융합,3
충남고등학교,예체능,6
충남고등학교,인문·사회,22
충남고등학교,자연·공학,19
충남고등학교,제2외국어·국제,7
충남여자고등학교,예체능,5
충남여자고등학교,인문·사회,22
충남여자고등학교,자연·공학,18
충남여자고등학교,정보·AI,1
충남여자고등학교,제2외국어·국제,9
한밭고등학교,예체능,4
한밭고등학교,인문·사회,22
한밭고등학교,자연·공학,19
한밭고등학교,제2외국어·국제,6
한밭고등학교,진로·융합,1
호수돈여자고등학교,예체능,5
호수돈여자고등학교,인문·사회,14
호수돈여자고등학교,자연·공학,31
호수돈여자고등학교,정보·AI,2
호수돈여자고등학교,제2외국어·국제,6
