학교명,가정과학,간호의기초,거문고4,거문고5,경제,경제_경,경제수학,고급물리학,고급생명과학,고급수학1,고급수학2,고급화학,고전과윤리,고전문학감상,고전읽기,공연실습,공학일반,과학과제연구,과학사,과학융합,관광일본어,관악2,관악3,교육학,국악2,국악3,국제경제,국제관계와국제기구,국제법,국제정치,기술·가정,기하,논리학,논술,대금4,대금5,데이터과학과머신러닝,도덕윤리과제연구,독서,독서토론,독일어1,독일어2,독일어권문화,동아시아사,드로잉4,드로잉5,디자인1,디자인2,디자인4,디자인일반,만화·애니메이션1,만화·애니메이션2,만화·애니메이션4,매체미술,무대기술,무대기술1,무용음악실습,문학,문학개론,문학과매체,물리학1,물리학1_물리,물리학2,물리학2_물리,물리학실험,미술,미술감상과비평,미술이론,미술전공실기,미술창작,미적분,바이올린4,바이올린5,발레2,발레3,발레4,발레5,발레기초실기,보건,보컬4,보컬5,비교문화,비즈니스영어,빅데이터분석,사물인터넷,사회·문화,사회·문화_사회문,사회과제연구,사회과제탐구,사회문제탐구_사회문제탐,생명과학1,생명과학1_생명과,생명과학2,생명과학2_생명과,생명과학실험,생태와환경,생활과과학,생활과윤리,생활과윤리_생활과윤,생활과한문,서양화1,서양화2,서양화4,성악2,성악3,성악4,성악5,세계문제와미래사회,세계사,세계사_세계,세계지리,수학1,수학2,수학과제탐구,수학여행,수학적사고와벡터,수학적사고와적분,수학적사고와통계,스포츠생활,스포츠생활6,스포츠생활7,시창·청음,시창·청음1,시창청음2,식품과영양,식품과학,식품안전과건강,신재생에너지일반,실용경제,실용국어,실용수학,실용영어,실용음악2,실용음악3,심리학,심화국어,심화수학1,심화수학2,심화영어1,심화영어2,심화영어독해1,심화영어독해2,심화영어작문1,심화영어회화1,안무2,안무3,안무4,안무5,야영활동,언어와매체,여행지리,역사과제연구,연극제작실습2,연극제작실습3,연극제작실습4,연극제작실습5,연기2,연기3,연기4,연기5,영미문학읽기,영어1,영어2,영어권문화,영어독해와작문,영어회화,영화감상과비평,운동과건강,윤리와사상,윤리와사상_윤리와사,융합과학,융합과학탐구,음악,음악감상과비평,음악연주,인공지능과미래사회,인공지능과피지컬컴퓨팅,인공지능기초,인공지능수학,인문학적상상여행,일본문화,일본어1,일본어2,일본어회화1,일본어회화2,입체조형,자료구조,작곡2,작곡3,작곡4,작곡5,전공기초일본어,전공기초중국어,정보,정보과제연구,정보과학,정치와법,정치와법_정치와,중국문화,중국어1,중국어2,중국어회화1,중국어회화2,지구과학1,지구과학1_지구과,지구과학2,지구과학2_지구과,지리과제연구,지식재산일반,지역이해,진로영어,진로영어B토의2,진로와직업,창의경영,철학,체육,체육과진로탐구,체육탐구,타악기2,타악기4,타악기5,프랑스어1,프랑스어2,프로그래밍,피아노2,피아노3,피아노4,피아노5,한국무용2,한국무용3,한국무용4,한국무용5,한국무용기초실기,한국사,한국사회의이해,한국지리,한국지리_한국지,한문1,한문2,합창‧합주2,해금4,해금5,현대무용2,현대무용3,현대무용4,현대무용5,현대무용기초실기,현대문학감상,현대세계의변화,현악2,현악3,화법과작문,화학1,화학1_화,화학2,화학2_화,화학실험,확률과통계,환경,후마니타스:인간의가치탐색
남대전고등학교,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,17,13,5,0,0,0,0,19,0,0,0,0,0,0,0,33,0,0,0,0,0,0,44,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,17,0,29,0,5,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,68,0,7,0,34,0,10,0,48,19,0,0,0,0,0,0,0,0,0,0,30,0,26,42,40,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,5,43,41,0,30,13,0,48,51,0,0,0,0,0,42,0,0,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,25,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,15,0,31,0,0,25,0,0
대덕고등학교,0,0,0,0,9,0,5,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,34,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,30,0,23,0,0,0,17,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,12,0,27,0,12,0,0,0,19,25,0,0,0,0,0,0,0,0,0,23,14,0,7,35,33,31,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,24,0,0,0,0,0,0,0,0,0,0,29,19,0,0,0,0,0,0,0,0,0,5,36,32,10,41,0,0,38,16,0,0,0,0,13,6,0,5,0,0,0,0,0,0,26,30,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,2,2,26,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,16,23,0,21,0,0,22,0,0
대전가오고등학교,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,38,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,8,0,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,24,0,28,0,24,0,0,0,24,18,0,0,0,0,0,0,0,0,0,0,9,0,9,34,36,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,0,0,0,0,0,0,0,0,0,0,35,34,0,36,32,0,67,24,0,0,0,0,0,13,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,17,0,0,43,0,0
대전고등학교,0,0,0,0,8,0,0,0,0,35,0,0,17,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,50,53,12,0,0,0,0,36,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,32,0,30,0,0,0,0,0,0,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,57,0,40,0,15,0,0,47,0,20,0,0,0,0,0,0,0,0,0,0,2,0,3,48,50,22,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,48,0,0,0,0,0,0,0,0,0,84,20,17,0,0,0,0,0,0,0,0,0,0,53,42,0,52,0,0,47,8,0,0,0,0,20,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,28,0,0,0,25,0,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,0,20,0,0,40,0,0
대전관저고등학교,0,0,0,0,6,0,24,0,0,0,0,0,0,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,0,16,0,11,0,0,0,5,0,0,23,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,6,0,34,0,12,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,21,0,0,32,27,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,0,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,33,33,0,44,0,0,26,31,0,0,0,0,15,18,0,0,7,0,0,10,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,29,0,0,5,0,0,0,29,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,51,34,0,26,0,0,33,0,0
대전괴정고등학교,0,0,0,0,4,0,20,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,10,0,4,0,0,28,0,0,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,21,0,24,0,16,0,0,0,21,20,0,27,0,0,0,0,0,0,0,0,14,0,0,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,33,19,24,37,0,0,29,26,0,0,0,0,8,0,0,0,0,0,0,0,23,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,5,0,0,18,0,8,0,0,0,0,8,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,0,12,0,0,30,1,0
대전구봉고등학교,0,0,0,0,13,0,27,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,13,0,10,0,0,5,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,17,0,37,0,32,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,16,0,16,35,29,20,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,10,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,32,28,34,34,0,0,39,20,0,0,0,12,24,0,0,0,7,0,0,0,57,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,25,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,0,22,0,0,33,0,0
대전노은고등학교,0,0,0,0,6,3,14,0,0,0,0,0,0,0,23,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,28,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,9,8,7,5,0,12,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,5,0,9,8,9,8,7,5,0,0,17,18,5,0,0,0,0,0,0,0,0,0,3,5,0,31,31,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,4,20,13,0,0,0,29,0,0,0,0,0,0,0,0,11,17,0,0,0,0,0,0,0,0,0,0,31,28,0,30,0,0,30,9,8,0,0,12,0,18,0,0,0,0,0,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,6,3,7,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,8,7,5,0,27,2,0
대전대성고등학교,0,0,0,0,5,0,6,16,4,30,18,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,28,0,45,0,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,18,0,19,0,24,0,0,0,4,7,0,0,0,0,0,0,0,0,0,12,0,0,0,20,35,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,10,6,0,0,32,31,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,27,0,0,38,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,18,0,7,0,0,0,0,0,0,0,0,11,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,46,6,0,0,6,27,0,17,0,0,23,0,0
대전대신고등학교,0,0,0,0,12,0,13,18,6,23,0,18,0,42,0,0,16,25,0,0,0,0,0,0,0,0,0,8,0,0,0,25,14,19,0,0,6,0,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,21,0,23,0,3,8,0,0,0,0,26,0,0,0,0,0,0,0,3,0,0,5,0,0,0,9,0,18,17,0,7,0,8,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0,6,0,4,42,35,3,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,32,0,8,0,48,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,43,35,3,26,0,0,36,8,0,0,0,11,0,0,0,0,16,10,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,9,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,5,28,0,0,28,23,0,21,0,3,31,0,0
