subject,standard_subject,domain,method,ignored,ignore_reason
2학년수학여행문학,문학,자연·공학,override,False,
2학년수학여행물리학1,물리학1,자연·공학,override,False,
2학년수학여행미술,미술,자연·공학,override,False,
2학년수학여행생명과학1,생명과학1,자연·공학,override,False,
2학년수학여행생활과윤리,생활과윤리,자연·공학,override,False,
2학년수학여행세계사,세계사,자연·공학,override,False,
2학년수학여행수학1,수학1,자연·공학,override,False,
2학년수학여행스포츠생활,스포츠생활,자연·공학,override,False,
2학년수학여행영어1,영어1,자연·공학,override,False,
2학년수학여행음악,음악,자연·공학,override,False,
2학년수학여행인공지능기초,인공지능기초,정보·AI,override,False,
2학년수학여행일본어1,일본어1,자연·공학,override,False,
2학년수학여행중국어1,중국어1,자연·공학,override,False,
2학년수학여행지구과학1,지구과학1,자연·공학,override,False,
2학년수학여행진로영어,진로영어,자연·공학,override,False,
2학년수학여행한국지리,한국지리,자연·공학,override,False,
2학년수학여행화학1,화학1,자연·공학,override,False,
2학년수학여행확률과통계,확률과통계,자연·공학,override,False,
가정과학,가정과학,자연·공학,rule,False,
가정과학D,가정과학,자연·공학,rule,False,
간호의기초,간호의기초,진로·융합,rule,False,
거문고4,거문고4,예체능,rule,False,
거문고5,거문고5,예체능,rule,False,
경제,경제,인문·사회,rule,False,
경제_경제2-3,경제_경,인문·사회,rule,False,
경제수학,경제수학,자연·공학,rule,False,
고급물리학,고급물리학,자연·공학,rule,False,
고급생명과학,고급생명과학,자연·공학,rule,False,
고급수학1,고급수학1,자연·공학,rule,False,
고급수학2,고급수학2,자연·공학,rule,False,
고급화학,고급화학,자연·공학,rule,False,
고전과윤리,고전과윤리,인문·사회,rule,False,
고전문학감상,고전문학감상,인문·사회,rule,False,
고전읽기,고전읽기,인문·사회,rule,False,
고전읽기A,고전읽기,인문·사회,rule,False,
공연실습,공연실습,예체능,rule,False,
공연실습1,공연실습,예체능,override,False,
공학일반,공학일반,자연·공학,rule,False,
과제연구기초,과학과제연구,자연·공학,override,False,
과학과제연구,과학과제연구,자연·공학,rule,False,
과학사,과학사,자연·공학,rule,False,
과학융합,과학융합,자연·공학,rule,False,
관광일본어,관광일본어,제2외국어·국제,rule,False,
관악2,관악2,예체능,rule,False,
관악3,관악3,예체능,rule,False,
교육학,교육학,인문·사회,rule,False,
국악2,국악2,예체능,rule,False,
국악3,국악3,예체능,rule,False,
국제경제,국제경제,인문·사회,rule,False,
국제관계와국제기구,국제관계와국제기구,제2외국어·국제,rule,False,
국제법,국제법,제2외국어·국제,rule,False,
국제정치,국제정치,인문·사회,rule,False,
기술·가정,기술·가정,진로·융합,rule,False,
기하,기하,자연·공학,dict,False,
기하B토의2,기하,자연·공학,override,False,
논리학,논리학,인문·사회,rule,False,
논술,논술,인문·사회,rule,False,
대금4,대금4,예체능,rule,False,
대금5,대금5,예체능,rule,False,
데이터과학과머신러닝,데이터과학과머신러닝,정보·AI,rule,False,
도덕윤리과제연구,도덕윤리과제연구,자연·공학,rule,False,
독서,독서,인문·사회,rule,False,
독서토론,독서토론,인문·사회,rule,False,
독일어1,독일어1,제2외국어·국제,rule,False,
독일어2,독일어2,제2외국어·국제,rule,False,
독일어권문화,독일어권문화,제2외국어·국제,rule,False,
동아시아사,동아시아사,인문·사회,rule,False,
드로잉4,드로잉4,예체능,rule,False,
드로잉5,드로잉5,예체능,rule,False,
디자인1,디자인1,예체능,rule,False,
디자인2,디자인2,예체능,rule,False,
디자인4,디자인4,예체능,rule,False,
디자인일반,디자인일반,예체능,rule,False,
만화·애니메이션1,만화·애니메이션1,예체능,rule,False,
만화·애니메이션2,만화·애니메이션2,예체능,rule,False,
만화·애니메이션4,만화·애니메이션4,예체능,rule,False,
매체미술,매체미술,예체능,rule,False,
무대기술,무대기술,예체능,rule,False,
무대기술1,무대기술1,예체능,rule,False,
무용음악실습,무용음악실습,예체능,rule,False,
문학,문학,인문·사회,rule,False,
문학개론,문학개론,인문·사회,rule,False,
문학과매체,문학과매체,인문·사회,rule,False,
물리학1,물리학1,자연·공학,dict,False,
물리학1_물리학12-6,물리학1_물리,자연·공학,rule,False,
물리학2,물리학2,자연·공학,rule,False,
물리학2_물리학23-7,물리학2_물리,자연·공학,rule,False,
물리학실험,물리학실험,자연·공학,rule,False,
미술,미술,예체능,dict,False,
미술감상과비평,미술감상과비평,예체능,rule,False,
미술이론,미술이론,예체능,rule,False,
미술전공실기,미술전공실기,예체능,rule,False,
미술창작,미술창작,예체능,rule,False,
미적분,미적분,자연·공학,dict,False,
바이올린4,바이올린4,예체능,rule,False,
바이올린5,바이올린5,예체능,rule,False,
발레2,발레2,예체능,rule,False,
발레3,발레3,예체능,rule,False,
발레4,발레4,예체능,rule,False,
발레5,발레5,예체능,rule,False,
발레기초실기,발레기초실기,예체능,rule,False,
보건,보건,진로·융합,rule,False,
보컬4,보컬4,예체능,rule,False,
보컬5,보컬5,예체능,rule,False,
비교문화,비교문화,제2외국어·국제,rule,False,
비즈니스영어,비즈니스영어,제2외국어·국제,rule,False,
빅데이터분석,빅데이터분석,정보·AI,rule,False,
사물인터넷,사물인터넷,정보·AI,override,False,
사회·문화,사회·문화,인문·사회,rule,False,
사회·문화_사회문화3-4,사회·문화_사회문,인문·사회,rule,False,
사회·문화사회문화,사회·문화,인문·사회,override,False,
사회과제연구,사회과제연구,자연·공학,rule,False,
사회문제탐구,사회과제탐구,인문·사회,override,False,
사회문제탐구B토의2,사회과제탐구,인문·사회,override,False,
사회문제탐구C토의2,사회과제탐구,인문·사회,override,False,
사회문제탐구_사회문제탐구2-5,사회문제탐구_사회문제탐,인문·사회,rule,False,
사회문화과제연구,사회과제탐구,인문·사회,override,False,
사회탐구방법,사회과제탐구,인문·사회,override,False,
생명과학1,생명과학1,자연·공학,dict,False,
생명과학1_생명과학12-1,생명과학1_생명과,자연·공학,rule,False,
생명과학1_생명과학12-2,생명과학1_생명과,자연·공학,rule,False,
생명과학2,생명과학2,자연·공학,rule,False,
생명과학2_생명과학23-2,생명과학2_생명과,자연·공학,rule,False,
생명과학실험,생명과학실험,자연·공학,rule,False,
생태와환경,생태와환경,자연·공학,rule,False,
생활과과학,생활과과학,자연·공학,rule,False,
생활과윤리,생활과윤리,인문·사회,dict,False,
