rank,hub,hub_type,subject,domain,new_school_domain_pairs,new_schools,avg_distance_km,gain,schools,algorithm
1,아우름평생교육원,평생교육시설,식품과영양,진로·융합,5,5,3.13,0.52,"대전만년고등학교, 대전전민고등학교, 동대전고등학교, 보문고등학교, 우송고등학교",actor_critic
2,대전관저고등학교,고등학교,식품과영양,진로·융합,2,2,4.0,0.168,"대전한빛고등학교, 서대전여자고등학교",actor_critic
3,대전둔원고등학교,고등학교,프로그래밍,정보·AI,6,6,3.04,0.69,"대전만년고등학교, 대전예술고등학교, 동대전고등학교, 보문고등학교, 서대전여자고등학교, 한밭고등학교",actor_critic
4,라온요가필라테스평생교육원,평생교육시설,프로그래밍,정보·AI,2,2,3.21,0.25,"대전가오고등학교, 우송고등학교",actor_critic
5,대전광역시 동구 무지개도서관,공공도서관,진로와직업,진로·융합,3,3,3.04,0.28,"남대전고등학교, 대전가오고등학교, 대전동산고등학교",actor_critic
6,대전관저고등학교,고등학교,정보과학,정보·AI,3,3,3.04,0.245,"대전한빛고등학교, 서일고등학교, 서일여자고등학교",actor_critic
7,구즉청소년문화의집,청소년시설,인공지능수학,정보·AI,3,3,4.01,0.189,"대전전민고등학교, 신탄진고등학교, 중일고등학교",actor_critic
8,대덕벤처평생교육원,평생교육시설,진로와직업,진로·융합,2,2,3.54,0.121,"신탄진고등학교, 중일고등학교",actor_critic
9,풀잎문화센터둔산교육원평생교육원,평생교육시설,데이터과학과머신러닝,정보·AI,1,1,4.46,0.065,대전동산고등학교,actor_critic
10,바디앤솔메디필라테스평생교육원,평생교육시설,화학1,자연·공학,1,1,4.83,0.094,대전예술고등학교,actor_critic
1,보문고등학교,고등학교,보건,진로·융합,7,7,2.67,0.871,"남대전고등학교, 대전가오고등학교, 대전동산고등학교, 동대전고등학교, 보문고등학교, 서대전여자고등학교, 우송고등학교",greedy_baseline
2,대전중앙고등학교,고등학교,정보,정보·AI,8,8,3.33,0.857,"대전가오고등학교, 대전동산고등학교, 대전만년고등학교, 동대전고등학교, 보문고등학교, 서대전여자고등학교, 우송고등학교, 한밭고등학교",greedy_baseline
3,보문고등학교,고등학교,진로영어,제2외국어·국제,5,5,2.15,0.688,"대전가오고등학교, 대전동산고등학교, 동대전고등학교, 보문고등학교, 우송고등학교",greedy_baseline
4,대전중앙고등학교,고등학교,미술,예체능,8,8,3.63,0.684,"남대전고등학교, 대전가오고등학교, 대전동산고등학교, 대전만년고등학교, 동대전고등학교, 서대전여자고등학교, 우송고등학교, 한밭고등학교",greedy_baseline
5,자이로토닉채움유성점평생교육원,평생교육시설,일본문화,제2외국어·국제,5,5,3.76,0.516,"대전만년고등학교, 대전예술고등학교, 서일고등학교, 서일여자고등학교, 한밭고등학교",greedy_baseline
6,대전예술고등학교,고등학교,정치와법,인문·사회,2,2,1.93,0.397,"대전예술고등학교, 서대전여자고등학교",greedy_baseline
7,서일여자고등학교,고등학교,인공지능기초,정보·AI,3,3,1.6,0.367,"대전한빛고등학교, 서일고등학교, 서일여자고등학교",greedy_baseline
8,대전예술고등학교,고등학교,인공지능기초,정보·AI,1,1,0.0,0.314,대전예술고등학교,greedy_baseline
9,대전예술고등학교,고등학교,물리학1,자연·공학,1,1,0.0,0.314,대전예술고등학교,greedy_baseline
10,대전전민고등학교,고등학교,보건,진로·융합,3,3,2.25,0.306,"대전만년고등학교, 대전전민고등학교, 중일고등학교",greedy_baseline
