학교명,SAI_before,SAI_after,공동수업과목수,공동수업참여가능,SAI_delta,algorithm
서대전여자고등학교,68.51872173427842,84.59896590797898,4,호수돈여자고등학교:일본문화/제2외국어·국제(4.0km); 보문고등학교:인공지능기초/정보·AI(5.0km); 대전둔원고등학교:정보/정보·AI(1.7km); 대전예술고등학교:영어권문화/제2외국어·국제(3.9km); 보문고등학교:보건/진로·융합(5.0km),16.080244173700564,actor_critic
보문고등학교,69.97086128226577,85.69534221360871,4,호수돈여자고등학교:일본문화/제2외국어·국제(1.4km); 보문고등학교:인공지능기초/정보·AI(0.0km); 대전둔원고등학교:정보/정보·AI(4.6km); 우송고등학교:영어권문화/제2외국어·국제(1.7km); 보문고등학교:보건/진로·융합(0.0km),15.724480931342939,actor_critic
우송고등학교,68.56413326413296,83.67438433672905,3,호수돈여자고등학교:일본문화/제2외국어·국제(2.7km); 보문고등학교:인공지능기초/정보·AI(1.7km); 우송고등학교:영어권문화/제2외국어·국제(0.0km); 보문고등학교:보건/진로·융합(1.7km),15.110251072596085,actor_critic
대전동산고등학교,75.11479494364761,85.58351880896707,5,호수돈여자고등학교:일본문화/제2외국어·국제(1.5km); 보문고등학교:인공지능기초/정보·AI(2.9km); 대전둔원고등학교:정보/정보·AI(4.1km); 우송고등학교:영어권문화/제2외국어·국제(4.1km); 보문고등학교:보건/진로·융합(2.9km),10.468723865319461,actor_critic
대전성모여자고등학교,76.94056267149872,87.13478603906258,5,호수돈여자고등학교:일본문화/제2외국어·국제(0.6km); 보문고등학교:인공지능기초/정보·AI(1.7km); 대전둔원고등학교:정보/정보·AI(4.6km); 우송고등학교:영어권문화/제2외국어·국제(2.6km); 보문고등학교:보건/진로·융합(1.7km),10.19422336756385,actor_critic
호수돈여자고등학교,74.3514615304055,83.86521724017146,4,호수돈여자고등학교:일본문화/제2외국어·국제(0.0km); 보문고등학교:인공지능기초/정보·AI(1.4km); 대전둔원고등학교:정보/정보·AI(4.1km); 우송고등학교:영어권문화/제2외국어·국제(2.7km); 보문고등학교:보건/진로·융합(1.4km),9.51375570976596,actor_critic
대전예술고등학교,68.58090093100566,77.94038879945589,2,대전둔원고등학교:정보/정보·AI(3.6km); 대전예술고등학교:영어권문화/제2외국어·국제(0.0km),9.35948786845023,actor_critic
대전괴정고등학교,79.20607143050026,88.4928239579715,4,호수돈여자고등학교:일본문화/제2외국어·국제(3.5km); 보문고등학교:인공지능기초/정보·AI(4.1km); 대전둔원고등학교:정보/정보·AI(0.6km); 대전예술고등학교:영어권문화/제2외국어·국제(4.1km); 보문고등학교:보건/진로·융합(4.1km),9.286752527471236,actor_critic
동대전고등학교,75.91778769034734,85.16436740371576,3,호수돈여자고등학교:일본문화/제2외국어·국제(3.4km); 보문고등학교:인공지능기초/정보·AI(2.1km); 대전둔원고등학교:정보/정보·AI(4.7km); 우송고등학교:영어권문화/제2외국어·국제(2.9km); 보문고등학교:보건/진로·융합(2.1km),9.246579713368419,actor_critic
대전가오고등학교,74.01310350323638,83.01693453903455,3,호수돈여자고등학교:일본문화/제2외국어·국제(4.0km); 보문고등학교:인공지능기초/정보·AI(4.0km); 우송고등학교:영어권문화/제2외국어·국제(3.0km); 보문고등학교:보건/진로·융합(4.0km),9.003831035798171,actor_critic
남대전고등학교,75.26052646357951,84.15915743353008,3,호수돈여자고등학교:일본문화/제2외국어·국제(2.1km); 보문고등학교:인공지능기초/정보·AI(2.9km); 우송고등학교:영어권문화/제2외국어·국제(3.1km); 보문고등학교:보건/진로·융합(2.9km),8.898630969950574,actor_critic
한밭고등학교,75.52323130515661,84.31076167027597,3,호수돈여자고등학교:일본문화/제2외국어·국제(5.0km); 대전둔원고등학교:정보/정보·AI(0.9km); 대전예술고등학교:영어권문화/제2외국어·국제(2.8km),8.787530365119352,actor_critic
충남여자고등학교,77.45086071420991,86.10847383049949,2,호수돈여자고등학교:일본문화/제2외국어·국제(0.4km); 보문고등학교:인공지능기초/정보·AI(1.4km); 대전둔원고등학교:정보/정보·AI(3.7km); 우송고등학교:영어권문화/제2외국어·국제(2.9km); 보문고등학교:보건/진로·융합(1.4km),8.657613116289582,actor_critic
서일여자고등학교,74.79599439696715,83.30342602574478,2,서일여자고등학교:일본문화/제2외국어·국제(0.0km); 서일여자고등학교:인공지능기초/정보·AI(0.0km),8.507431628777638,actor_critic
서일고등학교,76.00329209043693,84.26497046997243,2,서일여자고등학교:일본문화/제2외국어·국제(0.1km); 서일여자고등학교:인공지능기초/정보·AI(0.1km),8.261678379535496,actor_critic
대전둔산여자고등학교,80.06090166329491,88.29291930677621,3,호수돈여자고등학교:일본문화/제2외국어·국제(4.7km); 보문고등학교:인공지능기초/정보·AI(4.9km); 대전둔원고등학교:정보/정보·AI(1.1km); 대전예술고등학교:영어권문화/제2외국어·국제(3.6km); 보문고등학교:보건/진로·융합(4.9km),8.2320176434813,actor_critic
서대전고등학교,76.40173041117525,84.22712755182155,1,대전둔원고등학교:정보/정보·AI(2.0km); 대전예술고등학교:영어권문화/제2외국어·국제(3.5km),7.825397140646302,actor_critic
신탄진고등학교,68.53966045140653,75.78131573137014,2,대전용산고등학교:영어권문화/제2외국어·국제(4.8km); 대전용산고등학교:인공지능기초/정보·AI(4.8km),7.241655279963609,actor_critic
대전한빛고등학교,69.84421811402089,76.82492427736895,2,서일여자고등학교:일본문화/제2외국어·국제(4.7km); 서일여자고등학교:인공지능기초/정보·AI(4.7km),6.98070616334806,actor_critic
대전중앙고등학교,82.85351840185919,84.76364938604301,3,호수돈여자고등학교:일본문화/제2외국어·국제(1.3km); 보문고등학교:인공지능기초/정보·AI(0.9km); 대전둔원고등학교:정보/정보·AI(3.7km); 우송고등학교:영어권문화/제2외국어·국제(2.5km); 보문고등학교:보건/진로·융합(0.9km),1.910130984183823,actor_critic
대전전민고등학교,75.97554358625887,77.73950366105896,2,대전용산고등학교:영어권문화/제2외국어·국제(2.5km); 대전용산고등학교:인공지능기초/정보·AI(2.5km),1.7639600748000959,actor_critic
중일고등학교,74.87224827081133,76.61245160987635,2,대전용산고등학교:영어권문화/제2외국어·국제(0.6km); 대전용산고등학교:인공지능기초/정보·AI(0.6km),1.740203339065019,actor_critic
대전만년고등학교,76.02388625975068,77.57100145142452,2,대전둔원고등학교:정보/정보·AI(2.7km); 대전예술고등학교:영어권문화/제2외국어·국제(4.2km),1.5471151916738393,actor_critic
대전제일고등학교,76.13307508210748,77.61058226873509,2,호수돈여자고등학교:일본문화/제2외국어·국제(4.1km); 서일여자고등학교:일본문화/제2외국어·국제(4.9km); 서일여자고등학교:인공지능기초/정보·AI(4.9km); 대전둔원고등학교:정보/정보·AI(3.3km),1.477507186627605,actor_critic
대전둔원고등학교,85.08936331126027,86.41962339059621,2,호수돈여자고등학교:일본문화/제2외국어·국제(4.1km); 보문고등학교:인공지능기초/정보·AI(4.6km); 대전둔원고등학교:정보/정보·AI(0.0km); 대전예술고등학교:영어권문화/제2외국어·국제(3.6km); 보문고등학교:보건/진로·융합(4.6km),1.3302600793359431,actor_critic
대전복수고등학교,85.2858499442755,86.60819288331645,2,호수돈여자고등학교:일본문화/제2외국어·국제(4.5km); 서일여자고등학교:일본문화/제2외국어·국제(4.6km); 서일여자고등학교:인공지능기초/정보·AI(4.6km); 대전둔원고등학교:정보/정보·AI(4.3km),1.3223429390409507,actor_critic
대전관저고등학교,78.15437614397163,79.39556650013259,2,서일여자고등학교:일본문화/제2외국어·국제(2.2km); 서일여자고등학교:인공지능기초/정보·AI(2.2km); 대전둔원고등학교:정보/정보·AI(4.8km); 대전예술고등학교:영어권문화/제2외국어·국제(4.0km),1.2411903561609563,actor_critic
청란여자고등학교,86.84337716083385,87.85160554549488,2,호수돈여자고등학교:일본문화/제2외국어·국제(2.2km); 보문고등학교:인공지능기초/정보·AI(3.0km); 우송고등학교:영어권문화/제2외국어·국제(3.0km); 보문고등학교:보건/진로·융합(3.0km),1.0082283846610238,actor_critic
동방고등학교,84.72697741366652,85.7063647580187,1,서일여자고등학교:일본문화/제2외국어·국제(2.1km); 서일여자고등학교:인공지능기초/정보·AI(2.1km),0.9793873443521761,actor_critic
대덕고등학교,77.99512423989293,78.84987693422582,1,대전용산고등학교:영어권문화/제2외국어·국제(3.9km); 대전용산고등학교:인공지능기초/정보·AI(3.9km),0.8547526943328876,actor_critic
명석고등학교,85.94255247833516,86.7004306231444,1,호수돈여자고등학교:일본문화/제2외국어·국제(4.6km); 보문고등학교:인공지능기초/정보·AI(3.2km); 우송고등학교:영어권문화/제2외국어·국제(2.2km); 보문고등학교:보건/진로·융합(3.2km),0.75787814480924,actor_critic
대전구봉고등학교,77.71177976260202,78.15392306234236,1,서일여자고등학교:일본문화/제2외국어·국제(0.7km); 서일여자고등학교:인공지능기초/정보·AI(0.7km),0.44214329974033717,actor_critic
대전용산고등학교,84.77782738475582,85.18613679825643,1,대전용산고등학교:영어권문화/제2외국어·국제(0.0km); 대전용산고등학교:인공지능기초/정보·AI(0.0km),0.40830941350060357,actor_critic
대전도안고등학교,77.01445411444517,77.3973331888305,1,서일여자고등학교:일본문화/제2외국어·국제(4.9km); 서일여자고등학교:인공지능기초/정보·AI(4.9km); 대전둔원고등학교:정보/정보·AI(3.3km); 대전예술고등학교:영어권문화/제2외국어·국제(1.2km),0.382879074385329,actor_critic
대전반석고등학교,83.773850545737,83.773850545737,0,대전예술고등학교:영어권문화/제2외국어·국제(4.8km),0.0,actor_critic
대전지족고등학교,78.74647883938047,78.74647883938047,0,대전예술고등학교:영어권문화/제2외국어·국제(3.8km),0.0,actor_critic
대전이문고등학교,79.97076667650514,79.97076667650514,0,대전용산고등학교:영어권문화/제2외국어·국제(3.8km); 대전용산고등학교:인공지능기초/정보·AI(3.8km),0.0,actor_critic
유성여자고등학교,87.21694962479796,87.21694962479796,0,대전예술고등학교:영어권문화/제2외국어·국제(4.2km),0.0,actor_critic
유성고등학교,88.8478605935543,88.8478605935543,0,대전둔원고등학교:정보/정보·AI(3.5km); 대전예술고등학교:영어권문화/제2외국어·국제(0.3km),0.0,actor_critic
서대전여자고등학교,68.51872173427842,85.04088212082742,5,보문고등학교:보건/진로·융합(5.0km); 호수돈여자고등학교:일본문화/제2외국어·국제(4.0km); 보문고등학교:정보/정보·AI(5.0km); 대전동산고등학교:미술/예체능(3.4km); 대전관저고등학교:인공지능기초/정보·AI(3.4km); 서대전여자고등학교:정치와법/인문·사회(0.0km),16.522160386549004,greedy_baseline
우송고등학교,68.56413326413296,83.87855283349609,3,보문고등학교:보건/진로·융합(1.7km); 호수돈여자고등학교:일본문화/제2외국어·국제(2.7km); 보문고등학교:정보/정보·AI(1.7km); 대전동산고등학교:미술/예체능(4.1km),15.314419569363125,greedy_baseline
신탄진고등학교,68.53966045140653,83.68958422906596,3,대전용산고등학교:인공지능기초/정보·AI(4.8km); 대전용산고등학교:보건/진로·융합(4.8km); 대전용산고등학교:영어권문화/제2외국어·국제(4.8km),15.149923777659424,greedy_baseline
보문고등학교,69.97086128226577,84.7157387409348,3,보문고등학교:보건/진로·융합(0.0km); 호수돈여자고등학교:일본문화/제2외국어·국제(1.4km); 보문고등학교:정보/정보·AI(0.0km); 대전동산고등학교:미술/예체능(2.9km); 서대전여자고등학교:정치와법/인문·사회(5.0km),14.744877458669023,greedy_baseline
대전가오고등학교,74.01310350323638,84.36396611177518,4,보문고등학교:보건/진로·융합(4.0km); 호수돈여자고등학교:일본문화/제2외국어·국제(4.0km); 보문고등학교:정보/정보·AI(4.0km); 대전동산고등학교:미술/예체능(4.5km),10.350862608538804,greedy_baseline
대전동산고등학교,75.11479494364761,85.14307771674063,4,보문고등학교:보건/진로·융합(2.9km); 호수돈여자고등학교:일본문화/제2외국어·국제(1.5km); 보문고등학교:정보/정보·AI(2.9km); 대전동산고등학교:미술/예체능(0.0km); 서대전여자고등학교:정치와법/인문·사회(3.4km),10.028282773093025,greedy_baseline
남대전고등학교,75.26052646357951,85.18636294000176,4,보문고등학교:보건/진로·융합(2.9km); 호수돈여자고등학교:일본문화/제2외국어·국제(2.1km); 보문고등학교:정보/정보·AI(2.9km); 대전동산고등학교:미술/예체능(2.2km),9.925836476422248,greedy_baseline
동대전고등학교,75.91778769034734,85.71622248352664,4,보문고등학교:보건/진로·융합(2.1km); 호수돈여자고등학교:일본문화/제2외국어·국제(3.4km); 보문고등학교:정보/정보·AI(2.1km); 대전동산고등학교:미술/예체능(4.8km),9.798434793179297,greedy_baseline
중일고등학교,74.87224827081133,84.42776293359762,3,대전용산고등학교:인공지능기초/정보·AI(0.6km); 대전용산고등학교:보건/진로·융합(0.6km); 대전용산고등학교:영어권문화/제2외국어·국제(0.6km),9.555514662786294,greedy_baseline
대전전민고등학교,75.97554358625887,85.40610229310043,3,대전용산고등학교:인공지능기초/정보·AI(2.5km); 대전용산고등학교:보건/진로·융합(2.5km); 대전용산고등학교:영어권문화/제2외국어·국제(2.5km),9.430558706841566,greedy_baseline
호수돈여자고등학교,74.3514615304055,83.65734246579126,4,보문고등학교:보건/진로·융합(1.4km); 호수돈여자고등학교:일본문화/제2외국어·국제(0.0km); 보문고등학교:정보/정보·AI(1.4km); 대전동산고등학교:미술/예체능(1.5km); 서대전여자고등학교:정치와법/인문·사회(4.0km),9.305880935385758,greedy_baseline
대전괴정고등학교,79.20607143050026,88.4928239579715,4,보문고등학교:보건/진로·융합(4.1km); 호수돈여자고등학교:일본문화/제2외국어·국제(3.5km); 보문고등학교:정보/정보·AI(4.1km); 대전동산고등학교:미술/예체능(3.5km); 대전관저고등학교:인공지능기초/정보·AI(4.9km); 서대전여자고등학교:정치와법/인문·사회(1.6km),9.286752527471236,greedy_baseline
대전예술고등학교,68.58090093100566,77.83830455107238,2,대전관저고등학교:인공지능기초/정보·AI(4.0km); 서대전여자고등학교:정치와법/인문·사회(3.9km),9.257403620066725,greedy_baseline
충남여자고등학교,77.45086071420991,86.591936460538,3,보문고등학교:보건/진로·융합(1.4km); 호수돈여자고등학교:일본문화/제2외국어·국제(0.4km); 보문고등학교:정보/정보·AI(1.4km); 대전동산고등학교:미술/예체능(1.6km); 서대전여자고등학교:정치와법/인문·사회(3.7km),9.141075746328085,greedy_baseline
대전성모여자고등학교,76.94056267149872,85.96215211042676,3,보문고등학교:보건/진로·융합(1.7km); 호수돈여자고등학교:일본문화/제2외국어·국제(0.6km); 보문고등학교:정보/정보·AI(1.7km); 대전동산고등학교:미술/예체능(1.4km); 서대전여자고등학교:정치와법/인문·사회(4.4km),9.021589438928032,greedy_baseline
한밭고등학교,75.52323130515661,84.49265724012295,3,호수돈여자고등학교:일본문화/제2외국어·국제(5.0km); 대전동산고등학교:미술/예체능(4.9km); 대전관저고등학교:인공지능기초/정보·AI(4.6km); 서대전여자고등학교:정치와법/인문·사회(2.1km),8.969425934966338,greedy_baseline
서일여자고등학교,74.79599439696715,83.30342602574478,2,서일여자고등학교:일본문화/제2외국어·국제(0.0km); 대전관저고등학교:인공지능기초/정보·AI(2.2km),8.507431628777638,greedy_baseline
대덕고등학교,77.99512423989293,86.40347436678634,2,대전용산고등학교:인공지능기초/정보·AI(3.9km); 대전용산고등학교:보건/진로·융합(3.9km); 대전용산고등학교:영어권문화/제2외국어·국제(3.9km),8.40835012689341,greedy_baseline
서일고등학교,76.00329209043693,84.26497046997243,2,서일여자고등학교:일본문화/제2외국어·국제(0.1km); 대전관저고등학교:인공지능기초/정보·AI(2.3km),8.261678379535496,greedy_baseline
대전둔산여자고등학교,80.06090166329491,88.29291930677621,3,보문고등학교:보건/진로·융합(4.9km); 호수돈여자고등학교:일본문화/제2외국어·국제(4.7km); 보문고등학교:정보/정보·AI(4.9km); 대전동산고등학교:미술/예체능(5.0km); 서대전여자고등학교:정치와법/인문·사회(2.8km),8.2320176434813,greedy_baseline
대전이문고등학교,79.97076667650514,87.48144681087277,1,대전용산고등학교:인공지능기초/정보·AI(3.8km); 대전용산고등학교:보건/진로·융합(3.8km); 대전용산고등학교:영어권문화/제2외국어·국제(3.8km),7.510680134367632,greedy_baseline
대전한빛고등학교,69.84421811402089,76.82492427736895,2,대전동산고등학교:미술/예체능(4.8km); 서일여자고등학교:일본문화/제2외국어·국제(4.7km); 대전관저고등학교:인공지능기초/정보·AI(4.6km),6.98070616334806,greedy_baseline
대전중앙고등학교,82.85351840185919,84.37688612843623,2,보문고등학교:보건/진로·융합(0.9km); 호수돈여자고등학교:일본문화/제2외국어·국제(1.3km); 보문고등학교:정보/정보·AI(0.9km); 대전동산고등학교:미술/예체능(2.6km); 서대전여자고등학교:정치와법/인문·사회(4.2km),1.5233677265770353,greedy_baseline
대전둔원고등학교,85.08936331126027,86.41962339059621,2,보문고등학교:보건/진로·융합(4.6km); 호수돈여자고등학교:일본문화/제2외국어·국제(4.1km); 보문고등학교:정보/정보·AI(4.6km); 대전동산고등학교:미술/예체능(4.1km); 대전관저고등학교:인공지능기초/정보·AI(4.8km); 서대전여자고등학교:정치와법/인문·사회(1.7km),1.3302600793359431,greedy_baseline
동방고등학교,84.72697741366652,85.7063647580187,1,서일여자고등학교:일본문화/제2외국어·국제(2.1km); 대전관저고등학교:인공지능기초/정보·AI(1.4km); 서대전여자고등학교:정치와법/인문·사회(3.7km),0.9793873443521761,greedy_baseline
청란여자고등학교,86.84337716083385,87.62904351590718,2,보문고등학교:보건/진로·융합(3.0km); 호수돈여자고등학교:일본문화/제2외국어·국제(2.2km); 보문고등학교:정보/정보·AI(3.0km); 대전동산고등학교:미술/예체능(2.3km),0.7856663550733316,greedy_baseline
명석고등학교,85.94255247833516,86.7004306231444,1,보문고등학교:보건/진로·융합(3.2km); 호수돈여자고등학교:일본문화/제2외국어·국제(4.6km); 보문고등학교:정보/정보·AI(3.2km),0.75787814480924,greedy_baseline
유성고등학교,88.8478605935543,89.5456514025297,1,대전관저고등학교:인공지능기초/정보·AI(4.3km); 서대전여자고등학교:정치와법/인문·사회(3.9km),0.6977908089753981,greedy_baseline
대전구봉고등학교,77.71177976260202,78.15392306234236,1,서일여자고등학교:일본문화/제2외국어·국제(0.7km); 대전관저고등학교:인공지능기초/정보·AI(1.8km); 서대전여자고등학교:정치와법/인문·사회(5.0km),0.44214329974033717,greedy_baseline
대전용산고등학교,84.77782738475582,85.18613679825643,1,대전용산고등학교:인공지능기초/정보·AI(0.0km); 대전용산고등학교:보건/진로·융합(0.0km); 대전용산고등학교:영어권문화/제2외국어·국제(0.0km),0.40830941350060357,greedy_baseline
대전복수고등학교,85.2858499442755,85.67365522217943,1,호수돈여자고등학교:일본문화/제2외국어·국제(4.5km); 대전동산고등학교:미술/예체능(3.1km); 서일여자고등학교:일본문화/제2외국어·국제(4.6km); 대전관저고등학교:인공지능기초/정보·AI(3.3km); 서대전여자고등학교:정치와법/인문·사회(2.7km),0.3878052779039365,greedy_baseline
대전제일고등학교,76.13307508210748,76.45541917135456,1,호수돈여자고등학교:일본문화/제2외국어·국제(4.1km); 대전동산고등학교:미술/예체능(2.9km); 서일여자고등학교:일본문화/제2외국어·국제(4.9km); 대전관저고등학교:인공지능기초/정보·AI(3.1km); 서대전여자고등학교:정치와법/인문·사회(1.6km),0.3223440892470819,greedy_baseline
대전관저고등학교,78.15437614397163,78.15437614397163,0,서일여자고등학교:일본문화/제2외국어·국제(2.2km); 대전관저고등학교:인공지능기초/정보·AI(0.0km); 서대전여자고등학교:정치와법/인문·사회(3.4km),0.0,greedy_baseline
대전도안고등학교,77.01445411444517,77.01445411444517,0,서일여자고등학교:일본문화/제2외국어·국제(4.9km); 대전관저고등학교:인공지능기초/정보·AI(2.9km); 서대전여자고등학교:정치와법/인문·사회(3.1km),0.0,greedy_baseline
대전만년고등학교,76.02388625975068,76.02388625975068,0,서대전여자고등학교:정치와법/인문·사회(4.4km),0.0,greedy_baseline
대전지족고등학교,78.74647883938047,78.74647883938047,0,,0.0,greedy_baseline
대전반석고등학교,83.773850545737,83.773850545737,0,,0.0,greedy_baseline
서대전고등학교,76.40173041117525,76.40173041117525,0,서대전여자고등학교:정치와법/인문·사회(3.6km),0.0,greedy_baseline
유성여자고등학교,87.21694962479796,87.21694962479796,0,,0.0,greedy_baseline
