rank,hub,subject,domain,new_school_domain_pairs,new_schools,avg_distance_km,gain,schools,algorithm
1,우송고등학교,식품안전과건강,진로·융합,6,6,2.44,0.75,"남대전고등학교, 대전가오고등학교, 대전동산고등학교, 동대전고등학교, 보문고등학교, 우송고등학교",rl_policy
2,대전이문고등학교,진로와직업,진로·융합,2,2,2.73,0.276,"신탄진고등학교, 중일고등학교",rl_policy
3,대전관저고등학교,정보과제연구,정보·AI,6,6,3.54,0.491,"대전예술고등학교, 대전한빛고등학교, 서대전여자고등학교, 서일고등학교, 서일여자고등학교, 한밭고등학교",rl_policy
4,대전만년고등학교,보건,진로·융합,3,3,2.85,0.305,"대전만년고등학교, 대전전민고등학교, 서대전여자고등학교",rl_policy
5,대전둔산여자고등학교,데이터과학과머신러닝,정보·AI,4,4,3.99,0.35,"대전동산고등학교, 대전만년고등학교, 동대전고등학교, 보문고등학교",rl_policy
6,남대전고등학교,정보,정보·AI,2,2,2.73,0.223,"대전가오고등학교, 우송고등학교",rl_policy
7,대전관저고등학교,식품안전과건강,진로·융합,1,1,4.58,0.08,대전한빛고등학교,rl_policy
8,대전용산고등학교,프로그래밍,정보·AI,3,3,2.66,0.304,"대전전민고등학교, 신탄진고등학교, 중일고등학교",rl_policy
9,명석고등학교,진로영어,제2외국어·국제,4,4,3.22,0.362,"대전가오고등학교, 동대전고등학교, 보문고등학교, 우송고등학교",rl_policy
10,서대전여자고등학교,진로영어,제2외국어·국제,3,3,3.89,0.227,"대전동산고등학교, 대전만년고등학교, 대전예술고등학교",rl_policy
1,보문고등학교,보건,진로·융합,7,7,2.67,0.871,"남대전고등학교, 대전가오고등학교, 대전동산고등학교, 동대전고등학교, 보문고등학교, 서대전여자고등학교, 우송고등학교",greedy_baseline
2,대전중앙고등학교,정보,정보·AI,8,8,3.33,0.857,"대전가오고등학교, 대전동산고등학교, 대전만년고등학교, 동대전고등학교, 보문고등학교, 서대전여자고등학교, 우송고등학교, 한밭고등학교",greedy_baseline
3,보문고등학교,진로영어,제2외국어·국제,5,5,2.15,0.688,"대전가오고등학교, 대전동산고등학교, 동대전고등학교, 보문고등학교, 우송고등학교",greedy_baseline
4,대전중앙고등학교,미술,예체능,8,8,3.63,0.684,"남대전고등학교, 대전가오고등학교, 대전동산고등학교, 대전만년고등학교, 동대전고등학교, 서대전여자고등학교, 우송고등학교, 한밭고등학교",greedy_baseline
5,대전예술고등학교,영어권문화,제2외국어·국제,3,3,2.32,0.473,"대전만년고등학교, 대전예술고등학교, 한밭고등학교",greedy_baseline
6,서일여자고등학교,일본문화,제2외국어·국제,3,3,1.6,0.433,"대전한빛고등학교, 서일고등학교, 서일여자고등학교",greedy_baseline
7,대전예술고등학교,정치와법,인문·사회,2,2,1.93,0.397,"대전예술고등학교, 서대전여자고등학교",greedy_baseline
8,서일여자고등학교,인공지능기초,정보·AI,3,3,1.6,0.367,"대전한빛고등학교, 서일고등학교, 서일여자고등학교",greedy_baseline
9,대전예술고등학교,인공지능기초,정보·AI,1,1,0.0,0.314,대전예술고등학교,greedy_baseline
10,대전예술고등학교,물리학1,자연·공학,1,1,0.0,0.314,대전예술고등학교,greedy_baseline
