학교명,SAI_before,SAI_after,공동수업과목수,공동수업참여가능,SAI_delta,algorithm
서대전여자고등학교,68.51872173427842,86.57875860456751,7,서대전여자고등학교:정보·AI(0.0km); 서대전고등학교:정보·AI(3.6km); 대전관저고등학교:정보·AI(3.4km); 호수돈여자고등학교:진로·융합(4.0km); 대전관저고등학교:제2외국어·국제(3.4km); 대전관저고등학교:진로·융합(3.4km),18.060036870289096,rl_policy
보문고등학교,69.97086128226577,85.69534221360871,4,명석고등학교:정보·AI(3.2km); 서대전여자고등학교:정보·AI(5.0km); 호수돈여자고등학교:진로·융합(1.4km); 서대전여자고등학교:제2외국어·국제(5.0km),15.724480931342939,rl_policy
신탄진고등학교,68.53966045140653,83.30597707897779,2,대전용산고등학교:진로·융합(4.8km); 대전이문고등학교:정보·AI(1.1km),14.766316627571257,rl_policy
대전한빛고등학교,69.84421811402089,84.59550671328908,3,대전관저고등학교:정보·AI(4.6km); 대전관저고등학교:제2외국어·국제(4.6km); 대전관저고등학교:진로·융합(4.6km),14.751288599268193,rl_policy
우송고등학교,68.56413326413296,83.29989923545847,2,명석고등학교:정보·AI(2.2km); 호수돈여자고등학교:진로·융합(2.7km),14.735765971325506,rl_policy
한밭고등학교,75.52323130515661,87.70796620732673,7,서대전여자고등학교:정보·AI(2.1km); 서대전고등학교:정보·AI(1.6km); 대전관저고등학교:정보·AI(4.6km); 호수돈여자고등학교:진로·융합(5.0km); 대전관저고등학교:제2외국어·국제(4.6km); 대전관저고등학교:진로·융합(4.6km),12.18473490217012,rl_policy
대전예술고등학교,68.58090093100566,80.3122374260814,6,서대전여자고등학교:정보·AI(3.9km); 서대전고등학교:정보·AI(3.5km); 대전관저고등학교:정보·AI(4.0km); 대전관저고등학교:제2외국어·국제(4.0km); 대전관저고등학교:진로·융합(4.0km); 서대전여자고등학교:제2외국어·국제(3.9km),11.731336495075738,rl_policy
대전제일고등학교,76.13307508210748,87.24354741449726,6,서대전여자고등학교:정보·AI(1.6km); 대전관저고등학교:정보·AI(3.1km); 호수돈여자고등학교:진로·융합(4.1km); 대전관저고등학교:제2외국어·국제(3.1km); 대전관저고등학교:진로·융합(3.1km); 서대전여자고등학교:제2외국어·국제(1.6km),11.110472332389776,rl_policy
대전괴정고등학교,79.20607143050026,89.92278465930643,7,서대전여자고등학교:정보·AI(1.6km); 서대전고등학교:정보·AI(2.3km); 대전관저고등학교:정보·AI(4.9km); 호수돈여자고등학교:진로·융합(3.5km); 대전관저고등학교:제2외국어·국제(4.9km); 대전관저고등학교:진로·융합(4.9km),10.71671322880617,rl_policy
대전도안고등학교,77.01445411444517,87.3048390105441,6,서대전여자고등학교:정보·AI(3.1km); 서대전고등학교:정보·AI(3.9km); 대전관저고등학교:정보·AI(2.9km); 대전관저고등학교:제2외국어·국제(2.9km); 대전관저고등학교:진로·융합(2.9km); 서대전여자고등학교:제2외국어·국제(3.1km),10.290384896098928,rl_policy
대전성모여자고등학교,76.94056267149872,86.94031754136742,4,명석고등학교:정보·AI(4.7km); 서대전여자고등학교:정보·AI(4.4km); 호수돈여자고등학교:진로·융합(0.6km); 서대전여자고등학교:제2외국어·국제(4.4km),9.999754869868696,rl_policy
대전구봉고등학교,77.71177976260202,87.46866869637893,5,서대전여자고등학교:정보·AI(5.0km); 대전관저고등학교:정보·AI(1.8km); 대전관저고등학교:제2외국어·국제(1.8km); 대전관저고등학교:진로·융합(1.8km); 서대전여자고등학교:제2외국어·국제(5.0km),9.756888933776906,rl_policy
호수돈여자고등학교,74.3514615304055,84.10618352773278,4,명석고등학교:정보·AI(4.6km); 서대전여자고등학교:정보·AI(4.0km); 호수돈여자고등학교:진로·융합(0.0km); 서대전여자고등학교:제2외국어·국제(4.0km),9.75472199732728,rl_policy
충남여자고등학교,77.45086071420991,87.15212991927012,4,명석고등학교:정보·AI(4.6km); 서대전여자고등학교:정보·AI(3.7km); 호수돈여자고등학교:진로·융합(0.4km); 서대전여자고등학교:제2외국어·국제(3.7km),9.701269205060214,rl_policy
동대전고등학교,75.91778769034734,85.5874552837186,3,명석고등학교:정보·AI(2.8km); 서대전고등학교:정보·AI(4.9km); 호수돈여자고등학교:진로·융합(3.4km),9.669667593371258,rl_policy
대전관저고등학교,78.15437614397163,87.76346979220908,5,서대전여자고등학교:정보·AI(3.4km); 대전관저고등학교:정보·AI(0.0km); 대전관저고등학교:제2외국어·국제(0.0km); 대전관저고등학교:진로·융합(0.0km); 서대전여자고등학교:제2외국어·국제(3.4km),9.609093648237447,rl_policy
서일여자고등학교,74.79599439696715,84.349738060094,3,대전관저고등학교:정보·AI(2.2km); 대전관저고등학교:제2외국어·국제(2.2km); 대전관저고등학교:진로·융합(2.2km),9.553743663126852,rl_policy
대전동산고등학교,75.11479494364761,84.48456695484494,3,서대전여자고등학교:정보·AI(3.4km); 호수돈여자고등학교:진로·융합(1.5km); 서대전여자고등학교:제2외국어·국제(3.4km),9.369772011197327,rl_policy
대전가오고등학교,74.01310350323638,83.25482104951207,2,명석고등학교:정보·AI(4.7km); 호수돈여자고등학교:진로·융합(4.0km),9.241717546275694,rl_policy
서일고등학교,76.00329209043693,85.24319387840944,3,대전관저고등학교:정보·AI(2.3km); 대전관저고등학교:제2외국어·국제(2.3km); 대전관저고등학교:진로·융합(2.3km),9.239901787972514,rl_policy
서대전고등학교,76.40173041117525,85.5395588922268,3,서대전여자고등학교:정보·AI(3.6km); 서대전고등학교:정보·AI(0.0km); 서대전여자고등학교:제2외국어·국제(3.6km),9.137828481051542,rl_policy
중일고등학교,74.87224827081133,84.00243956117657,2,대전용산고등학교:진로·융합(0.6km); 대전이문고등학교:정보·AI(4.3km),9.130191290365246,rl_policy
대전전민고등학교,75.97554358625887,84.8450401510288,2,서대전고등학교:정보·AI(5.0km); 대전용산고등학교:진로·융합(2.5km),8.869496564769932,rl_policy
