학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000013195,경일고등학교,고등학교,1973-03-01,사립,본교,운영,경상북도 안동시 신안동 산6-2,경상북도 안동시 치이골길 46,8750000,경상북도교육청,8791000,경상북도안동교육지원청,2013-11-29,2025-10-25,36.5749621699,128.7392948606,2026-03-20
B000013530,보문고등학교,고등학교,1975-03-05,사립,본교,운영,광주광역시 광산구 운수동 308,광주광역시 광산구 어등대로529번길 37,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2025-10-25,35.1538630655,126.776870489,2026-03-20
B000002807,대구내서초등학교,초등학교,1988-09-01,공립,본교,운영,대구광역시 서구 내당동 11-33,대구광역시 서구 달구벌대로371길 35,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2013-11-29,2025-10-25,35.8638196375,128.5667600041,2026-03-20
B000007927,유림초등학교,초등학교,1932-09-26,공립,본교,운영,경상남도 함양군 유림면 화촌리 472,경상남도 함양군 유림면 천왕봉로 2927,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2013-11-29,2025-10-25,35.4725210373,127.7930743723,2026-03-20
B000003875,호계초등학교,초등학교,1981-03-01,공립,본교,운영,경기도 안양시 동안구 호계동 923-17,경기도 안양시 동안구 경수대로707번길 27,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2013-11-29,2025-10-25,37.3842709268,126.9501231552,2026-03-20
B000005736,조치원교동초등학교,초등학교,1945-10-05,공립,본교,운영,세종특별자치시 조치원읍 교리 1-12,세종특별자치시 조치원읍 새내18길 21,9300000,세종특별자치시교육청,9300000,세종특별자치시교육청,2013-11-29,2025-10-25,36.6052279351,127.2979421862,2026-03-20
B000009920,대성중학교,중학교,1951-09-01,사립,본교,운영,충청북도 청주시 흥덕구 신봉동 171-1,충청북도 청주시 흥덕구 사운로 342,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2013-11-29,2025-10-25,36.658032803,127.4691294464,2026-03-20
B000022777,가재울고등학교,고등학교,2013-03-01,공립,본교,운영,서울특별시 서대문구 북가좌동 476,서울특별시 서대문구 수색로 100-35,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2025-10-25,37.574445874,126.9094147807,2026-03-20
B000007002,모아초등학교,초등학교,1949-12-01,공립,본교,운영,경상북도 경주시 천북면 모아리 588,경상북도 경주시 천북면 산업로 4974-5,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2013-11-29,2025-10-25,35.9206086016,129.2466224776,2026-03-20
B000002704,반안초등학교,초등학교,2002-03-01,공립,본교,운영,부산광역시 해운대구 반여동 1164-6,부산광역시 해운대구 명장로67번길 40-42,7150000,부산광역시교육청,7211000,부산광역시해운대교육지원청,2013-11-29,2025-10-25,35.20293351,129.1132301927,2026-03-20
B000024106,대구봉무초등학교,초등학교,2013-03-01,공립,본교,운영,대구광역시 동구 봉무동 1527,대구광역시 동구 팔공로53길 30,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2025-10-25,35.9258001678,128.6374377,2026-03-20
B000013540,성신고등학교,고등학교,1988-03-03,사립,본교,운영,울산광역시 중구 복산동 352-2,울산광역시 중구 성신고교길 26,7480000,울산광역시교육청,7491000,울산광역시강북교육지원청,2013-11-29,2025-10-25,35.5627065646,129.3278415305,2026-03-20
B000011399,대구공업고등학교,고등학교,1925-04-01,공립,본교,운영,대구광역시 동구 신암동 811,대구광역시 동구 대현로 135,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2025-10-25,35.883212669,128.6141702085,2026-03-20
B000002750,대구동촌초등학교,초등학교,1945-11-23,공립,본교,운영,대구광역시 동구 방촌동 1047,대구광역시 동구 동촌로 168,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2025-10-25,35.8820279409,128.6589293128,2026-03-20
B000002764,대구효동초등학교,초등학교,1990-05-17,공립,본교,운영,대구광역시 동구 효목동 212-10,대구광역시 동구 효동로 78-7,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2013-11-29,2025-10-25,35.8841262686,128.6447693,2026-03-20
B000022623,제석초등학교,초등학교,2015-03-01,공립,본교,운영,경상남도 통영시 광도면 죽림리 1583,경상남도 통영시 광도면 신죽1길 27,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2013-11-29,2025-10-25,34.87573861,128.4165396829,2026-03-20
B000011312,고명외식고등학교,고등학교,1956-03-01,사립,본교,운영,서울특별시 성북구 돈암동 45-88,서울특별시 성북구 북악산로 870,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2025-10-25,37.5976746822,127.0191869257,2026-03-20
B000012217,경원고등학교,고등학교,1976-03-01,사립,본교,운영,대구광역시 달서구 용산동 6,대구광역시 달서구 새방로 77,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2025-10-25,35.8654793232,128.5256790425,2026-03-20
B000008723,대진중학교,중학교,2006-03-03,공립,본교,운영,대구광역시 달서구 대곡동 1036-1,대구광역시 달서구 화암로73길 7,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2025-10-25,35.8057257504,128.5195259393,2026-03-20
B000007621,산양초등학교풍화분교장,초등학교,1941-05-02,공립,분교,운영,경상남도 통영시 산양읍 풍화리 829-3,경상남도 통영시 산양읍 풍화일주로 388,9010000,경상남도교육청,9071000,경상남도통영교육지원청,2013-11-29,2025-10-25,34.8267798897,128.3580467157,2026-03-20
B000008237,상명대학교사범대학부속여자중학교,중학교,1967-03-07,사립,본교,운영,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2025-10-25,37.6041089059,126.9551594966,2026-03-20
B000002095,상명대학교사범대학부속초등학교,초등학교,1966-05-17,사립,본교,운영,서울특별시 종로구 홍지동 56,서울특별시 종로구 홍지문2길 1,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2025-10-25,37.6004405635,126.9567149183,2026-03-20
B000003331,삼도초등학교,초등학교,1921-10-02,공립,본교,운영,광주광역시 광산구 도덕동 327,광주광역시 광산구 용진로 9,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2025-10-25,35.1643748006,126.700855862,2026-03-20
