시설구분명,시설명,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,시도코드,시도명,시군구코드,시군구명,소재지도로명주소,소재지지번주소,설립자명,전화번호,등록일자,등록상태구분명,학력인정여부,학력인정연도,기관홈페이지주소,데이터기준일자
학교형태,학력인정 대전시립중고등학교,7430000,대전광역시교육청,7430000,대전광역시교육청,30,대전광역시,110,동구,대전광역시 동구 동대전로 144번길 47,,(재)대전평생교육진흥원,042-250-6700,2020-04-06,개원,Y,2020,,2026-03-05
원격대학형태,에듀한빛원격평생교육시설,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 테미로44번안길 14(대흥동), 지하1층",,에듀한빛㈜,042-584-5331,2008-11-14,개원,N,,,2026-03-05
원격대학형태,에듀사이버평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 산서로62번길 1(사정동), 1층,2층,3층일부",,손기일,1600-1383,2009-02-10,개원,N,,,2026-03-05
원격대학형태,위드원격평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,230,대덕구,"대전광역시 대덕구 신탄진북로32번길 8-9(신탄진동), 103호",,황수정,070-8623-3792,2021-11-18,개원,N,,,2026-03-05
원격대학형태,글로벌메타커머스,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 대종로549번길 34(선화동), 3층일부",,오명국,042-320-4122,2022-04-21,개원,N,,,2026-03-05
원격대학형태,아백평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 대종로550번길 5(선화동), 1504호",,주식회사 아백,042-000-0000,2023-02-24,개원,N,,,2026-03-05
원격대학형태,레벨업메이트원격평생교육원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 대종로550번길 5(선화동), 305호",,박가람,042-000-0000,2023-08-08,개원,N,,,2026-03-05
원격대학형태,주식회사한국자격평가원,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 보문로63번길 48(부사동), 1층",,주식회사한국자격평가원,042-000-0000,2024-06-10,개원,N,,,2026-03-05
사업장부설,홈플러스문화센터문화점,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,140,중구,"대전광역시 중구 계백로 1690(문화동), 2층",,홈플러스주식회사,042-252-2013,2007-06-01,개원,N,,,2026-03-05
사업장부설,홈플러스문화센터대전가오점,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,30,대전광역시,110,동구,"대전광역시 동구 은어송로 72(가오동), 지하1층",,홈플러스주식회사,042-281-8005,2008-08-22,개원,N,,,2026-03-05
