ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,SCHUL_NM,ENG_SCHUL_NM,SCHUL_KND_SC_NM,LCTN_SC_NM,JU_ORG_NM,FOND_SC_NM,ORG_RDNZC,ORG_RDNMA,ORG_RDNDA,ORG_TELNO,HMPG_ADRES,COEDU_SC_NM,ORG_FAXNO,HS_SC_NM,INDST_SPECL_CCCCL_EXST_YN,HS_GNRL_BUSNS_SC_NM,SPCLY_PURPS_HS_ORD_NM,ENE_BFE_SEHF_SC_NM,DGHT_SC_NM,FOND_YMD,FOAS_MEMRD,LOAD_DTM,is_general_high
G10,대전광역시교육청,7430324,계룡디지텍고등학교,Kyeryong Digitech High School,고등학교,대전광역시,대전광역시교육청,사립,34613 ,대전광역시 동구 소랑길 64,(삼성동),042-630-6000,http://krdhs.djsch.kr,남,042-627-5328,특성화고,Y,전문계,,전기,주간,19491015,19491015,20260423,False
G10,대전광역시교육청,7430046,남대전고등학교,Namdaejeon High School,고등학교,대전광역시,대전광역시교육청,사립,35051 ,대전광역시 중구 보문로111번길 63,"(대사동, 남대전고등학교)",042-253-7111,http://ndjhs.djsch.kr/,남,042-222-1557,일반고,N,일반계,,전기,주간,19730620,19740308,20260423,True
G10,대전광역시교육청,7430030,대덕고등학교,Daedeok High School,고등학교,대전광역시,대전광역시교육청,공립,34121 ,대전광역시 유성구 대덕대로556번길 158,"(도룡동, 대덕고등학교)",042-860-0300,http://daedeokhs.djsch.kr/,남여공학,042-861-1413,일반고,N,일반계,,전기,주간,19801126,19810311,20260423,True
G10,대전광역시교육청,7430310,대덕소프트웨어마이스터고등학교,Daedeok Software Meister High School,고등학교,대전광역시,대전광역시교육청,공립,34111 ,대전광역시 유성구 가정북로 76,"(장동, 대덕소프트웨어마이스터고등학교)",042-866-8822,http://dsmhs.djsch.kr,남여공학,042-867-9900,특목고,N,전문계,,전기,주간,19910914,19910914,20260423,False
G10,대전광역시교육청,7430241,대전가오고등학교,Daejeon Gao High School,고등학교,대전광역시,대전광역시교육청,공립,34691 ,대전광역시 동구 신기로 71,"(가오동, 대전가오고등학교)",042-280-3700,http://gaohs.djsch.kr,남여공학,042-280-3790,일반고,N,일반계,,전기,주간,20070301,20070301,20260423,True
G10,대전광역시교육청,7430031,대전고등학교,Daejeon High School,고등학교,대전광역시,대전광역시교육청,공립,34932 ,대전광역시 중구 대흥로 110,"(대흥동, 대전고등학교)",042-220-6100,djhs.djsch.kr,남,042-220-6130,자율고,N,일반계,,전기,주간,19170401,19170401,20260423,True
G10,대전광역시교육청,7430032,대전과학고등학교,Daejeon Science High School for the Gifted,고등학교,대전광역시,대전광역시교육청,공립,34142 ,대전광역시 유성구 과학로 46,"(구성동, 과학고등학교)",042-860-0207,http://djshs.djsch.kr,남여공학,042-863-5488,특목고,N,일반계,과학계열,전기,주간,19831121,19831121,20260423,False
G10,대전광역시교육청,7430033,대전관저고등학교,DaeJeon GwanJeo High School,고등학교,대전광역시,대전광역시교육청,공립,35358 ,대전광역시 서구 관저북로 94,", 대전관저고등학교 (관저동, 관저고등학교)",042-540-2800,http://gjhs.djsch.kr,남여공학,042-545-2866,일반고,N,일반계,,전기,주간,19980219,19980305,20260423,True
G10,대전광역시교육청,7430237,대전괴정고등학교,Daejeon Goejeong High School,고등학교,대전광역시,대전광역시교육청,공립,35291 ,대전광역시 서구 가장로 15,(괴정동),042-520-8413,http://goejeonghs.djsch.kr,남여공학,042-528-9897,일반고,N,일반계,,전기,주간,20060301,20060301,20260423,True
G10,대전광역시교육청,7430150,대전구봉고등학교,Daejeon Gubong High School,고등학교,대전광역시,대전광역시교육청,공립,35376 ,대전광역시 서구 관저서로 36,", 대전구봉고등학교 (관저동)",042-540-3700,http://gubonghs.djsch.kr/,남여공학,042-540-3799,일반고,N,일반계,,후기,주간,20040301,20040406,20260423,True
G10,대전광역시교육청,7430252,대전국제통상고등학교,Daejeon International Marketing High School,고등학교,대전광역시,대전광역시교육청,공립,34998 ,대전광역시 중구 서문로 47,"(문화동, 대전국제통상고등학교)",042-580-2585,http://dimhs.djsch.kr,남여공학,042-582-6064,특성화고,N,전문계,,전기,주간,19811228,19820310,20260423,False
G10,대전광역시교육청,7430143,대전노은고등학교,Daejeon Noeun High School,고등학교,대전광역시,대전광역시교육청,공립,34091 ,대전광역시 유성구 노은동로 99,", 55 (노은동)",042-717-3600,http://noeunhs.djsch.kr,남여공학,042-476-1449,자율고,N,일반계,,전기,주간,20030218,20030301,20260423,True
G10,대전광역시교육청,7430325,대전대성고등학교,Daejeon Daeseong High School,고등학교,대전광역시,대전광역시교육청,사립,34825 ,대전광역시 중구 목동로 23,(목동),042-250-3888,http://daeseong.hs.kr/,남,042-250-3899,자율고,N,일반계,,전기,주간,19550427,19550427,20260423,True
G10,대전광역시교육청,7430326,대전대성여자고등학교,Daejeon Daeseong Girls' High School,고등학교,대전광역시,대전광역시교육청,사립,34601 ,대전광역시 동구 대성2길 20,(가양동),042-670-2000,http://dsghs.djsch.kr,여,042-632-0551,특성화고,N,전문계,,전기,주간,19641205,19641205,20260423,False
G10,대전광역시교육청,7430048,대전대신고등학교,Daejeon Daeshin High School,고등학교,대전광역시,대전광역시교육청,사립,35406 ,대전광역시 서구 오량1길 98,"(복수동, 대전대신중·고등학교)",042-585-5907,dshs.kr,남,042-583-8061,자율고,N,일반계,,전기,주간,19721226,19721226,20260423,True
G10,대전광역시교육청,7430351,대전도시과학고등학교,Daejeon Urban Science High School,고등학교,대전광역시,대전광역시교육청,공립,34231 ,대전광역시 유성구 진잠로42번길 35,"(원내동, 대전도시과학고등학교)",042-540-2100,https://dushs.djsch.kr,남여공학,042-543-2387,특성화고,N,전문계,,전기,주간,19940113,19940113,20260423,False
G10,대전광역시교육청,7430290,대전도안고등학교,Daejeon Doan High School,고등학교,대전광역시,대전광역시교육청,공립,34194 ,대전광역시 유성구 원신흥남로 51,(원신흥동),042-820-8600,http://doanhs.djsch.kr,남여공학,042-820-8693,일반고,N,일반계,,전기,주간,20130301,20130301,20260423,True
G10,대전광역시교육청,7430049,대전동산고등학교,Daejeon Dongsan High School,고등학교,대전광역시,대전광역시교육청,사립,34960 ,대전광역시 중구 문화로 183,"(문화동, 대전동산중고등학교)",042-587-5214,http://djdongsanhs.djsch.kr,남,042-587-5228,일반고,N,일반계,,전기,주간,19781108,19781119,20260423,True
