학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000012388,동대전고등학교,고등학교,1983-03-10,공립,본교,운영,대전광역시 대덕구 중리동 234-3,대전광역시 대덕구 청림길 33,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.35628714,127.4236428,2026-03-20
B000013532,대전여자고등학교,고등학교,1937-05-01,공립,본교,운영,대전광역시 동구 대동 16-2,대전광역시 동구 용운로1번길 28-37,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.33001268,127.4463707,2026-03-20
B000012386,중일고등학교,고등학교,1988-03-15,사립,본교,운영,대전광역시 유성구 관평동 671,대전광역시 유성구 배울2로 68,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.42052491,127.3886965,2026-03-20
B000013537,서대전여자고등학교,고등학교,1984-03-02,사립,본교,운영,대전광역시 서구 도마동 420-3,대전광역시 서구 배재로197번길 20,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.32773715,127.369556,2026-03-20
B000012380,대전지족고등학교,고등학교,2004-03-01,공립,본교,운영,대전광역시 유성구 지족동 857,대전광역시 유성구 노은서로 202,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.37803212,127.3156568,2026-03-20
B000012374,서대전고등학교,고등학교,1972-12-26,사립,본교,운영,대전광역시 서구 월평동 307,대전광역시 서구 월평동로 60,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.36013353,127.3695006,2026-03-20
B000012367,대전둔원고등학교,고등학교,2003-03-01,공립,본교,운영,대전광역시 서구 갈마동 1243,대전광역시 서구 대덕대로 101,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.34283137,127.3733872,2026-03-20
B000012365,대전둔산여자고등학교,고등학교,1997-03-01,공립,본교,운영,대전광역시 서구 갈마동 823,대전광역시 서구 갈마역로 33,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.35297303,127.3732835,2026-03-20
B000012389,대전이문고등학교,고등학교,1986-03-05,사립,본교,운영,대전광역시 대덕구 석봉동 311-1,대전광역시 대덕구 석봉로 15,7430000,대전광역시교육청,7441000,대전광역시동부교육지원청,2013-11-29,2025-10-25,36.44731214,127.4234779,2026-03-20
B000012383,대전용산고등학교,고등학교,2006-03-01,공립,본교,운영,대전광역시 유성구 용산동 658,대전광역시 유성구 용산2로 2-16,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2025-10-25,36.42100777,127.3959054,2026-03-20
