"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","일반교실","교과교실","특별교실","수준별교실","기타","시청각실","컴퓨터실","멀티미디어실","기타","교원지원공간","관리행정공간","체육집회공간","보건실","학생탈의실","학생샤워실","남자화장실","여자화장실","공용화장실","학생식당","기숙사실수","기타공간"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000164","대전생활과학고등학교","04","사립","N","","27","","27","","","","3","2","1","14","19","1","1","","2","9","7","","","","2"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000165","계룡디지텍고등학교","04","사립","N","","21","3","4","","3","","","23","1","11","22","3","1","1","1","7","1","","2","",""
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000166","남대전고등학교","04","사립","N","","30","8","5","1","","","1","1","1","10","21","1","1","","2","8","2","1","1","","7"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000167","대덕고등학교","04","공립","N","","31","6","9","","","1","2","","","6","20","2","1","","","10","14","","1","","2"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000170","대덕소프트웨어마이스터고등학교","04","공립","N","","12","10","6","","2","","","1","","12","22","2","1","2","2","11","11","","1","90","5"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000171","대전대성고등학교","04","사립","N","","31","3","4","","1","","","1","13","","28","1","","1","2","8","3","9","1","77","5"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000173","대전대성여자고등학교","04","사립","N","","34","","22","","","","","","","3","21","2","1","","","5","10","1","1","","4"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000174","대전고등학교","04","공립","N","","2","44","7","","","1","2","","","14","14","2","1","1","1","23","8","1","1","52","6"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000176","대전도시과학고등학교","04","공립","N","","29","40","6","","","","","1","5","4","33","2","1","","","10","9","6","1","","6"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000177","대전과학고등학교","04","공립","N","","6","14","79","","","1","1","","","38","16","2","1","2","2","19","19","","1","181","1"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000178","대전관저고등학교","04","공립","N","","28","5","8","","3","1","1","","1","11","10","1","1","2","2","10","11","","1","","11"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000180","대전노은고등학교","04","공립","N","","25","","16","","","1","1","","","3","21","1","1","","2","8","9","","1","","13"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000181","대전대신고등학교","04","사립","N","","31","","30","","3","1","1","","1","19","24","2","1","2","2","22","6","","1","64","16"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000182","대전동산고등학교","04","사립","N","","33","8","5","1","1","","2","","","3","22","3","1","2","2","9","3","","2","","2"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000183","동아마이스터고등학교","04","사립","N","","30","2","50","","15","1","3","2","","10","10","1","1","1","","24","6","","1","156","40"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000184","대전둔산여자고등학교","04","공립","N","","43","8","6","","","1","2","","4","2","14","1","1","","","3","16","","2","","13"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000185","대전둔원고등학교","04","공립","N","","31","8","5","","","","1","","","2","22","1","1","","","12","16","","1","","4"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000186","대전만년고등학교","04","공립","N","","29","4","8","","","1","1","","","4","24","1","1","2","2","11","10","","1","","2"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000187","대전제일고등학교","04","사립","N","","24","7","6","1","1","1","1","","","4","17","1","1","","1","10","10","","1","","1"
