"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","체육관","강당","기숙사 재실인원","수영장","진로 상담실","설립유형"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000164","대전생활과학고등학교","04","사립","N","","1","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000165","계룡디지텍고등학교","04","사립","N","","2","1","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000166","남대전고등학교","04","사립","N","","1","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000167","대덕고등학교","04","공립","N","","1","1","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000170","대덕소프트웨어마이스터고등학교","04","공립","N","","1","1","181","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000171","대전대성고등학교","04","사립","N","","1","","292","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000173","대전대성여자고등학교","04","사립","N","","2","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000174","대전고등학교","04","공립","N","","2","","66","","3","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000176","대전도시과학고등학교","04","공립","N","","1","1","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000177","대전과학고등학교","04","공립","N","","1","1","283","","2","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000178","대전관저고등학교","04","공립","N","","1","","","","","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 유성구","S060000180","대전노은고등학교","04","공립","N","","1","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000181","대전대신고등학교","04","사립","N","","1","1","240","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000182","대전동산고등학교","04","사립","N","","3","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 동구","S060000183","동아마이스터고등학교","04","사립","N","","1","","271","","","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000184","대전둔산여자고등학교","04","공립","N","","1","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000185","대전둔원고등학교","04","공립","N","","1","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000186","대전만년고등학교","04","공립","N","","1","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 서구","S060000187","대전제일고등학교","04","사립","N","","1","","","","2","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000191","대전성모여자고등학교","04","사립","N","","1","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 대덕구","S060000192","대전송촌고등학교","04","공립","N","","1","","","","1","단설"
"대전광역시교육청","대전광역시교육청","대전광역시 중구","S060000193","대전신일여자고등학교","04","사립","N","","1","","","","2","단설"
